field_name,candidate_grains,candidate_resources,evidence_paths,review_status,resolution,evidence_required,resolved_grain,resolution_status,resolution_basis,context_grains
game_config.scoring.assists,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].assists;element-summary:history[].assists;element-summary:history_past[].assists;event-live:elements[].stats.assists,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.bonus,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].bonus;element-summary:history[].bonus;element-summary:history_past[].bonus;event-live:elements[].stats.bonus,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.bps,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].bps;element-summary:history[].bps;element-summary:history_past[].bps;event-live:elements[].stats.bps,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.clean_sheets,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].clean_sheets;element-summary:history[].clean_sheets;element-summary:history_past[].clean_sheets;event-live:elements[].stats.clean_sheets,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.clearances_blocks_interceptions,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].clearances_blocks_interceptions;element-summary:history[].clearances_blocks_interceptions;element-summary:history_past[].clearances_blocks_interceptions;event-live:elements[].stats.clearances_blocks_interceptions,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.creativity,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].creativity;element-summary:history[].creativity;element-summary:history_past[].creativity;event-live:elements[].stats.creativity,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.defensive_contribution,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].defensive_contribution;element-summary:history[].defensive_contribution;element-summary:history_past[].defensive_contribution;event-live:elements[].stats.defensive_contribution,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.expected_assists,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].expected_assists;element-summary:history[].expected_assists;element-summary:history_past[].expected_assists;event-live:elements[].stats.expected_assists,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.expected_goal_involvements,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].expected_goal_involvements;element-summary:history[].expected_goal_involvements;element-summary:history_past[].expected_goal_involvements;event-live:elements[].stats.expected_goal_involvements,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.expected_goals,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].expected_goals;element-summary:history[].expected_goals;element-summary:history_past[].expected_goals;event-live:elements[].stats.expected_goals,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.expected_goals_conceded,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].expected_goals_conceded;element-summary:history[].expected_goals_conceded;element-summary:history_past[].expected_goals_conceded;event-live:elements[].stats.expected_goals_conceded,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.goals_conceded,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].goals_conceded;element-summary:history[].goals_conceded;element-summary:history_past[].goals_conceded;event-live:elements[].stats.goals_conceded,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.goals_scored,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].goals_scored;element-summary:history[].goals_scored;element-summary:history_past[].goals_scored;event-live:elements[].stats.goals_scored,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.ict_index,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].ict_index;element-summary:history[].ict_index;element-summary:history_past[].ict_index;event-live:elements[].stats.ict_index,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.influence,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].influence;element-summary:history[].influence;element-summary:history_past[].influence;event-live:elements[].stats.influence,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.own_goals,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].own_goals;element-summary:history[].own_goals;element-summary:history_past[].own_goals;event-live:elements[].stats.own_goals,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.penalties_missed,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].penalties_missed;element-summary:history[].penalties_missed;element-summary:history_past[].penalties_missed;event-live:elements[].stats.penalties_missed,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.penalties_saved,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].penalties_saved;element-summary:history[].penalties_saved;element-summary:history_past[].penalties_saved;event-live:elements[].stats.penalties_saved,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.recoveries,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].recoveries;element-summary:history[].recoveries;element-summary:history_past[].recoveries;event-live:elements[].stats.recoveries,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.red_cards,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].red_cards;element-summary:history[].red_cards;element-summary:history_past[].red_cards;event-live:elements[].stats.red_cards,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.saves,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].saves;element-summary:history[].saves;element-summary:history_past[].saves;event-live:elements[].stats.saves,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.starts,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].starts;element-summary:history[].starts;element-summary:history_past[].starts;event-live:elements[].stats.starts,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.tackles,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].tackles;element-summary:history[].tackles;element-summary:history_past[].tackles;event-live:elements[].stats.tackles,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
game_config.scoring.threat,player;player_match;player_season,bootstrap-static;element-summary;event-live,bootstrap-static:elements[].threat;element-summary:history[].threat;element-summary:history_past[].threat;event-live:elements[].stats.threat,OPEN,,resource/path context sufficient to select one structural grain,player,STRUCTURALLY_RESOLVED,observed resource/path context maps to one grain,player
