source_field,source_resource,source_grain,canonical_relationship,manager_side,manager_attribute,canonical_entity,parent_relationship,identity_requirement,temporal_requirement,status
resources.lineups.payload.away_team.managers,lineups,event,MANAGER_FIXTURE,AWAY,manager_container,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
resources.lineups.payload.away_team.managers[].firstName,lineups,event,MANAGER_FIXTURE,AWAY,manager_first_name,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
resources.lineups.payload.away_team.managers[].id,lineups,event,MANAGER_FIXTURE,AWAY,manager_source_id,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
resources.lineups.payload.away_team.managers[].lastName,lineups,event,MANAGER_FIXTURE,AWAY,manager_last_name,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
resources.lineups.payload.away_team.managers[].type,lineups,event,MANAGER_FIXTURE,AWAY,manager_type,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
resources.lineups.payload.home_team.managers,lineups,event,MANAGER_FIXTURE,HOME,manager_container,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
resources.lineups.payload.home_team.managers[].firstName,lineups,event,MANAGER_FIXTURE,HOME,manager_first_name,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
resources.lineups.payload.home_team.managers[].id,lineups,event,MANAGER_FIXTURE,HOME,manager_source_id,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
resources.lineups.payload.home_team.managers[].lastName,lineups,event,MANAGER_FIXTURE,HOME,manager_last_name,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
resources.lineups.payload.home_team.managers[].type,lineups,event,MANAGER_FIXTURE,HOME,manager_type,MANAGER,TEAM_FIXTURE,verified_source_manager_id,fixture_event_time,MAPPED_CANDIDATE
