field_name,grain,resource,identity_contract
accurateCross,player_match,player_match,player_identity_to_player_match_observations
accurateKeeperSweeper,player_match,player_match,player_identity_to_player_match_observations
accurateLongBalls,player_match,player_match,player_identity_to_player_match_observations
accurateOppositionHalfPasses,player_match,player_match,player_identity_to_player_match_observations
accurateOwnHalfPasses,player_match,player_match,player_identity_to_player_match_observations
accuratePass,player_match,player_match,player_identity_to_player_match_observations
aerialLost,player_match,player_match,player_identity_to_player_match_observations
aerialWon,player_match,player_match,player_identity_to_player_match_observations
ballCarriesCount,player_match,player_match,player_identity_to_player_match_observations
ballRecovery,player_match,player_match,player_identity_to_player_match_observations
bigChanceCreated,player_match,player_match,player_identity_to_player_match_observations
bigChanceMissed,player_match,player_match,player_identity_to_player_match_observations
blockedScoringAttempt,player_match,player_match,player_identity_to_player_match_observations
challengeLost,player_match,player_match,player_identity_to_player_match_observations
clearanceOffLine,player_match,player_match,player_identity_to_player_match_observations
crossNotClaimed,player_match,player_match,player_identity_to_player_match_observations
dispossessed,player_match,player_match,player_identity_to_player_match_observations
duelLost,player_match,player_match,player_identity_to_player_match_observations
duelWon,player_match,player_match,player_identity_to_player_match_observations
errorLeadToAGoal,player_match,player_match,player_identity_to_player_match_observations
errorLeadToAShot,player_match,player_match,player_identity_to_player_match_observations
expectedAssists,player_match,player_match,player_identity_to_player_match_observations
expectedGoals,player_match,player_match,player_identity_to_player_match_observations
expectedGoalsOnTarget,player_match,player_match,player_identity_to_player_match_observations
fouls,player_match,player_match,player_identity_to_player_match_observations
gameweek,player_match,player_match,player_identity_to_player_match_observations
goalAssist,player_match,player_match,player_identity_to_player_match_observations
goals,player_match,player_match,player_identity_to_player_match_observations
goalsPrevented,player_match,player_match,player_identity_to_player_match_observations
goodHighClaim,player_match,player_match,player_identity_to_player_match_observations
hitWoodwork,player_match,player_match,player_identity_to_player_match_observations
interceptionWon,player_match,player_match,player_identity_to_player_match_observations
keyPass,player_match,player_match,player_identity_to_player_match_observations
lastManTackle,player_match,player_match,player_identity_to_player_match_observations
matchId,player_match,player_match,player_identity_to_player_match_observations
metersCoveredHighSpeedRunningKm,player_match,player_match,player_identity_to_player_match_observations
metersCoveredJoggingKm,player_match,player_match,player_identity_to_player_match_observations
