season,fixture_id,source_match_id,source_player_id,player_attachment_status,fixture_attachment_status,home_team_attachment_status,home_team_season_id,home_persistent_team_code,away_team_attachment_status,away_team_season_id,away_persistent_team_code,attachment_graph_status
2016-17,1,,773,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,921,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,940,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,17056,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,18122,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,19346,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,19633,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,20220,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,20653,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,20752,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,36922,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,49805,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,67507,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,73951,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,110846,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,124697,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,137774,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,145188,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,636,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,11692,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,14231,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,15479,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,20538,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,20993,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,22596,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,27463,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,31821,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,32821,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,38393,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,43192,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,54686,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,106273,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,151118,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,152414,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,164291,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,1,,209098,UNRESOLVED,VERIFIED,VERIFIED,2016-17:90,90,VERIFIED,2016-17:80,80,PLAYER_ONLY_UNRESOLVED
2016-17,2,,631,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,3574,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,9921,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,10038,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,16620,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,19593,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,20278,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,24685,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,38639,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,39183,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,39472,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,46620,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,47992,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,50485,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,84686,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,111850,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,254813,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,816519,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,765,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,822,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,7776,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,10024,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,10599,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,13357,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,14235,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,19659,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,30144,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,35532,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,36466,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,41631,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,50027,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,111962,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,151037,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,817559,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,839819,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,2,,843765,UNRESOLVED,VERIFIED,VERIFIED,2016-17:31,31,VERIFIED,2016-17:35,35,PLAYER_ONLY_UNRESOLVED
2016-17,3,,544,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,1941,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,3593,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,9692,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,9766,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,10507,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,12790,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,39283,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,46432,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,93796,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,96372,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,98435,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,106337,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,109064,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,198030,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
2016-17,3,,252313,UNRESOLVED,VERIFIED,VERIFIED,2016-17:11,11,VERIFIED,2016-17:6,6,PLAYER_ONLY_UNRESOLVED
