source_player_id,canonical_player_identity,closure_status,evidence_basis
1000142,aaron ramsey,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1000263,albert grønbæk,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1003339,jarell quansah,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1004342,tyler onyango,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1005686,tayo adaramola,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
100574,conor hourihane,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1005766,thomas cannon,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1006144,terry ablade,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1006387,kevin schade,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1006409,mads bech sørensen,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1008402,conor bradley,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1008403,harvey davies,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1008656,christian saydee,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1009334,lorenz assignon,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1009362,oliwier zych,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1009762,teddy sharman-lowe,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1012415,ronnie edwards,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1013987,jay stansfield,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1014459,sebastian revan,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1014461,jaden philogene-bidace,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1014556,,REVIEW,verified player_identity_registry.csv + existing Player Research identity semantics
1016788,cesare casadei,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1017392,carlos alcaraz,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1018087,tristan crama,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1019442,kamaldeen sulemana,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
101999,jed steer,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1020141,nathan patterson,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1020680,jaidon anthony,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
103045,jordan ayew,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1031258,yehor yarmoliuk,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
103335,bernd leno,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1033352,bobby thomas,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
10343,andy lonergan,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1046390,john-kymani gordon,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1047484,sékou mara,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
10486,shane long,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1048916,lesley ugochukwu,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
10501,theo walcott,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
10577,alex oxlade-chamberlain,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
10589,ashley young,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1064630,fin stevens,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1065040,killian phillips,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1065214,samuel edozie,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1065525,matthew cox,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1066059,isaac price,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
106920,ryan fredericks,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1069488,roméo lavia,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
107414,james rodríguez,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1082694,luke plange,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1084311,justin devenny,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1085381,nicolas jackson,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
