observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,source_player_identity_status,player_attachment_status,player_entity_id,player_source_identity_ref,team_attachment_status,team_season_id,attachment_basis_player
player_season/1,player_season,2020-21,,21205,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,21205,UNRESOLVED,,no existing verified Player Research closure
player_season/2,player_season,2020-21,,79852,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,79852,UNRESOLVED,,no existing verified Player Research closure
player_season/3,player_season,2020-21,,98980,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,98980,UNRESOLVED,,no existing verified Player Research closure
player_season/4,player_season,2020-21,,199796,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,199796,UNRESOLVED,,no existing verified Player Research closure
player_season/5,player_season,2020-21,,47390,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,47390,UNRESOLVED,,no existing verified Player Research closure
player_season/6,player_season,2020-21,,199798,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,199798,UNRESOLVED,,no existing verified Player Research closure
player_season/7,player_season,2020-21,,149484,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,149484,UNRESOLVED,,no existing verified Player Research closure
player_season/8,player_season,2020-21,,169359,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,169359,UNRESOLVED,,no existing verified Player Research closure
player_season/9,player_season,2020-21,,108156,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,108156,UNRESOLVED,,no existing verified Player Research closure
player_season/10,player_season,2020-21,,37339,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,37339,UNRESOLVED,,no existing verified Player Research closure
player_season/11,player_season,2020-21,,123354,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,123354,UNRESOLVED,,no existing verified Player Research closure
player_season/12,player_season,2020-21,,230046,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,230046,UNRESOLVED,,no existing verified Player Research closure
player_season/13,player_season,2020-21,,122806,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,122806,UNRESOLVED,,no existing verified Player Research closure
player_season/14,player_season,2020-21,,114283,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,114283,UNRESOLVED,,no existing verified Player Research closure
player_season/15,player_season,2020-21,,148508,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,148508,UNRESOLVED,,no existing verified Player Research closure
player_season/16,player_season,2020-21,,184704,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,184704,UNRESOLVED,,no existing verified Player Research closure
player_season/17,player_season,2020-21,,88894,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,88894,UNRESOLVED,,no existing verified Player Research closure
player_season/18,player_season,2020-21,,193488,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,193488,UNRESOLVED,,no existing verified Player Research closure
player_season/19,player_season,2020-21,,122775,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,122775,UNRESOLVED,,no existing verified Player Research closure
player_season/20,player_season,2020-21,,232653,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,232653,UNRESOLVED,,no existing verified Player Research closure
player_season/21,player_season,2020-21,,481624,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,481624,UNRESOLVED,,no existing verified Player Research closure
player_season/22,player_season,2020-21,,478912,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,478912,UNRESOLVED,,no existing verified Player Research closure
player_season/23,player_season,2020-21,,465390,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,465390,UNRESOLVED,,no existing verified Player Research closure
player_season/24,player_season,2020-21,,213345,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,213345,UNRESOLVED,,no existing verified Player Research closure
player_season/25,player_season,2020-21,,178301,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,178301,UNRESOLVED,,no existing verified Player Research closure
player_season/26,player_season,2020-21,,110504,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,110504,UNRESOLVED,,no existing verified Player Research closure
player_season/27,player_season,2020-21,,221239,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,221239,UNRESOLVED,,no existing verified Player Research closure
player_season/28,player_season,2020-21,,80201,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,80201,UNRESOLVED,,no existing verified Player Research closure
player_season/29,player_season,2020-21,,115918,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,115918,UNRESOLVED,,no existing verified Player Research closure
player_season/30,player_season,2020-21,,131897,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,131897,UNRESOLVED,,no existing verified Player Research closure
player_season/31,player_season,2020-21,,98745,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,98745,UNRESOLVED,,no existing verified Player Research closure
player_season/32,player_season,2020-21,,192895,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,192895,UNRESOLVED,,no existing verified Player Research closure
player_season/33,player_season,2020-21,,226597,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,226597,UNRESOLVED,,no existing verified Player Research closure
player_season/34,player_season,2020-21,,156074,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,156074,UNRESOLVED,,no existing verified Player Research closure
player_season/35,player_season,2020-21,,58822,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,58822,UNRESOLVED,,no existing verified Player Research closure
player_season/36,player_season,2020-21,,101184,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,101184,UNRESOLVED,,no existing verified Player Research closure
player_season/37,player_season,2020-21,,92371,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,92371,UNRESOLVED,,no existing verified Player Research closure
player_season/38,player_season,2020-21,,41270,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,41270,UNRESOLVED,,no existing verified Player Research closure
player_season/39,player_season,2020-21,,223340,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,223340,UNRESOLVED,,no existing verified Player Research closure
player_season/40,player_season,2020-21,,182539,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,182539,UNRESOLVED,,no existing verified Player Research closure
player_season/41,player_season,2020-21,,184029,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,184029,UNRESOLVED,,no existing verified Player Research closure
player_season/42,player_season,2020-21,,167199,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,167199,UNRESOLVED,,no existing verified Player Research closure
player_season/43,player_season,2020-21,,153256,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,153256,UNRESOLVED,,no existing verified Player Research closure
player_season/44,player_season,2020-21,,209289,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,209289,UNRESOLVED,,no existing verified Player Research closure
