observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,source_player_identity_status,player_attachment_status,player_entity_id,player_source_identity_ref,team_attachment_status,team_season_id,attachment_basis_player
squad/1,squad,2025-26,,116535,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,116535,VERIFIED,,no existing verified Player Research closure
squad/2,squad,2025-26,,449027,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,449027,VERIFIED,,no existing verified Player Research closure
squad/3,squad,2025-26,,155503,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,155503,VERIFIED,,no existing verified Player Research closure
squad/4,squad,2025-26,,586268,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,586268,VERIFIED,,no existing verified Player Research closure
squad/5,squad,2025-26,,617719,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,617719,VERIFIED,,no existing verified Player Research closure
squad/6,squad,2025-26,,464353,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,464353,VERIFIED,,no existing verified Player Research closure
squad/7,squad,2025-26,,171287,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,171287,VERIFIED,,no existing verified Player Research closure
squad/8,squad,2025-26,,97032,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,97032,VERIFIED,,no existing verified Player Research closure
squad/9,squad,2025-26,,204716,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,204716,VERIFIED,,no existing verified Player Research closure
squad/10,squad,2025-26,,544877,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,544877,VERIFIED,,no existing verified Player Research closure
squad/11,squad,2025-26,,492777,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,492777,VERIFIED,,no existing verified Player Research closure
squad/12,squad,2025-26,,647681,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,647681,VERIFIED,,no existing verified Player Research closure
squad/13,squad,2025-26,,122798,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,122798,VERIFIED,,no existing verified Player Research closure
squad/14,squad,2025-26,,216094,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,216094,VERIFIED,,no existing verified Player Research closure
squad/15,squad,2025-26,,219937,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,219937,VERIFIED,,no existing verified Player Research closure
squad/16,squad,2025-26,,489580,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,489580,VERIFIED,,no existing verified Player Research closure
squad/17,squad,2025-26,,577722,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,577722,VERIFIED,,no existing verified Player Research closure
squad/18,squad,2025-26,,611926,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,611926,VERIFIED,,no existing verified Player Research closure
squad/19,squad,2025-26,,718875,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,718875,VERIFIED,,no existing verified Player Research closure
squad/20,squad,2025-26,,519440,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,519440,VERIFIED,,no existing verified Player Research closure
squad/21,squad,2025-26,,158983,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,158983,VERIFIED,,no existing verified Player Research closure
squad/22,squad,2025-26,,494595,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,494595,VERIFIED,,no existing verified Player Research closure
squad/23,squad,2025-26,,424876,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,424876,VERIFIED,,no existing verified Player Research closure
squad/24,squad,2025-26,,243016,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,243016,VERIFIED,,no existing verified Player Research closure
squad/25,squad,2025-26,,206915,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,206915,VERIFIED,,no existing verified Player Research closure
squad/26,squad,2025-26,,441266,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,441266,VERIFIED,,no existing verified Player Research closure
squad/27,squad,2025-26,,591386,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,591386,VERIFIED,,no existing verified Player Research closure
squad/28,squad,2025-26,,535928,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,535928,VERIFIED,,no existing verified Player Research closure
squad/29,squad,2025-26,,491501,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,491501,VERIFIED,,no existing verified Player Research closure
squad/30,squad,2025-26,,596042,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,596042,VERIFIED,,no existing verified Player Research closure
squad/31,squad,2025-26,,530331,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,530331,VERIFIED,,no existing verified Player Research closure
squad/32,squad,2025-26,,514515,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,514515,VERIFIED,,no existing verified Player Research closure
squad/33,squad,2025-26,,219168,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,219168,VERIFIED,,no existing verified Player Research closure
squad/34,squad,2025-26,,118748,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,118748,VERIFIED,,no existing verified Player Research closure
squad/35,squad,2025-26,,223541,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,223541,VERIFIED,,no existing verified Player Research closure
squad/36,squad,2025-26,,243298,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,243298,VERIFIED,,no existing verified Player Research closure
squad/37,squad,2025-26,,510663,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,510663,VERIFIED,,no existing verified Player Research closure
squad/38,squad,2025-26,,496185,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,496185,VERIFIED,,no existing verified Player Research closure
squad/39,squad,2025-26,,520280,,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,520280,VERIFIED,,no existing verified Player Research closure
