observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,player_attachment_status,player_entity_id,team_attachment_status,team_season_id
team_match/1,team_match,2016-17,855174,,855174,3,VERIFIED,1,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:90
team_match/2,team_match,2016-17,855174,,855174,16,VERIFIED,1,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:80
team_match/3,team_match,2016-17,855176,,855176,5,VERIFIED,2,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:31
team_match/4,team_match,2016-17,855176,,855176,19,VERIFIED,2,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:35
team_match/5,team_match,2016-17,855177,,855177,6,VERIFIED,3,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:11
team_match/6,team_match,2016-17,855177,,855177,17,VERIFIED,3,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:6
team_match/7,team_match,2016-17,855178,,855178,7,VERIFIED,4,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:88
team_match/8,team_match,2016-17,855178,,855178,8,VERIFIED,4,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:13
team_match/9,team_match,2016-17,855179,,855179,10,VERIFIED,5,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:43
team_match/10,team_match,2016-17,855179,,855179,15,VERIFIED,5,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:56
team_match/11,team_match,2016-17,855180,,855180,12,VERIFIED,6,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:25
team_match/12,team_match,2016-17,855180,,855180,14,VERIFIED,6,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:110
team_match/13,team_match,2016-17,855181,,855181,13,VERIFIED,7,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:20
team_match/14,team_match,2016-17,855181,,855181,18,VERIFIED,7,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:57
team_match/15,team_match,2016-17,855173,,855173,1,VERIFIED,8,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:3
team_match/16,team_match,2016-17,855173,,855173,9,VERIFIED,8,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:14
team_match/17,team_match,2016-17,855172,,855172,2,VERIFIED,9,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:91
team_match/18,team_match,2016-17,855172,,855172,11,VERIFIED,9,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:1
team_match/19,team_match,2016-17,855175,,855175,4,VERIFIED,10,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:8
team_match/20,team_match,2016-17,855175,,855175,20,VERIFIED,10,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:21
