frl_season,frl_fixture_id,frl_fpl_fixture_key,frl_fpl_player_key,frl_fpl_gameweek,frl_player_identity_key,frl_player_identity_status,frl_player_identity_route,frl_team_id,frl_opponent_team_id,frl_was_home,frl_fixture_relationship_status,frl_team_relationship_status,frl_observation_status,frl_participation_status,source_release_sha,source_repository,source_path,source_sha256,source_retrieved_at,source_element,source_position,source_player_code,source_first_name,source_second_name,source_fixture_code,source_total_points,source_modified,source_minutes,source_goals_scored,source_assists,source_clean_sheets,source_goals_conceded,source_own_goals,source_penalties_saved,source_penalties_missed,source_yellow_cards,source_red_cards,source_saves,source_bonus,source_bps,source_influence,source_creativity,source_threat,source_ict_index,source_clearances_blocks_interceptions,source_recoveries,source_tackles,source_defensive_contribution,source_starts,source_expected_goals,source_expected_assists,source_expected_goal_involvements,source_expected_goals_conceded,source_value,source_transfers_balance,source_selected,source_transfers_in,source_transfers_out,source_team_code
2026-27,1,1,1,1,player_match:581310,SOURCE_NATIVE_VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_SOURCE_NATIVE_PLAYER,3,9,true,VERIFIED,VERIFIED,OBSERVED,STARTED,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,1,GKP,154561,David,Raya Martín,2645195,6,False,90,0,0,1,0,0,0,0,0,0,1,0,24,11.8,0.0,0.0,1.2,1,8,0,0,1,0.00,0.00,0.00,0.20,60,0,3347153,0,0,3
2026-27,1,1,2,1,player_match:232422,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,2,GKP,109745,Kepa,Arrizabalaga Revuelta,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,7415,0,0,3
2026-27,1,1,3,1,player_match:906076,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,3,GKP,437495,Illan,Meslier,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,2971,0,0,3
2026-27,1,1,4,1,player_match:869792,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,STARTED,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,4,DEF,226597,Gabriel,dos Santos Magalhães,2645195,5,False,90,0,0,1,0,0,0,0,1,0,0,0,21,6.6,1.8,1.0,0.9,4,2,0,4,1,0.05,0.01,0.06,0.20,80,0,2647984,0,0,3
2026-27,1,1,5,1,player_match:958959,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,5,DEF,445122,Jurriën,Timber,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,65,0,11200,0,0,3
2026-27,1,1,6,1,player_match:941168,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,6,DEF,462424,William,Saliba,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,0,26559,0,0,3
2026-27,1,1,7,1,player_match:1423711,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,STARTED,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,7,MID,499169,Myles,Lewis-Skelly,2645195,3,False,90,0,0,1,0,0,0,0,0,0,0,0,15,11.0,22.9,7.0,4.1,1,5,1,7,1,0.06,0.11,0.17,0.20,55,0,55656,0,0,3
2026-27,1,1,8,1,player_match:957602,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,STARTED,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,8,DEF,466075,Riccardo,Calafiori,2645195,9,False,80,0,1,1,0,0,0,0,0,0,0,0,31,26.0,12.2,4.0,4.2,4,1,1,5,1,0.04,0.09,0.13,0.06,55,0,3542684,0,0,3
2026-27,1,1,9,1,player_match:1002837,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,SUBSTITUTE_APPEARANCE,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,9,DEF,448104,Piero,Hincapié,2645195,1,False,9,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.5,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.15,55,0,165924,0,0,3
2026-27,1,1,10,1,player_match:846036,SOURCE_NATIVE_VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_SOURCE_NATIVE_PLAYER,3,9,true,VERIFIED,VERIFIED,OBSERVED,STARTED,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,10,DEF,198869,Benjamin,White,2645195,11,False,90,0,1,1,0,0,0,0,0,0,0,2,37,33.2,26.8,13.0,7.3,4,3,1,5,1,0.18,0.21,0.39,0.20,55,0,401419,0,0,3
