season,fpl_element,fpl_player_code,fpl_team_code,player_identity_key,player_match_source_player_id,identity_status,identity_route,candidate_count,evidence_seasons,evidence_basis,source_release_sha,source_path,source_sha256
2026-27,1,154561,3,player_match:581310,581310,SOURCE_NATIVE_VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_SOURCE_NATIVE_PLAYER,1,2021-22|2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,2,109745,3,player_match:232422,232422,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2018-19|2019-20|2020-21|2021-22|2022-23|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,3,437495,3,player_match:906076,906076,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2020-21|2021-22|2022-23|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,4,226597,3,player_match:869792,869792,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2020-21|2021-22|2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,5,445122,3,player_match:958959,958959,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,6,462424,3,player_match:941168,941168,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,7,499169,3,player_match:1423711,1423711,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,8,466075,3,player_match:957602,957602,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,9,448104,3,player_match:1002837,1002837,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,10,198869,3,player_match:846036,846036,SOURCE_NATIVE_VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_SOURCE_NATIVE_PLAYER,1,2018-19|2020-21|2021-22|2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
