field_name,resource,original_grain,field_type,current_raw_found,current_resolution_status,current_resolved_grain,current_evidence_paths,historical_found,historical_grains,historical_season_files,source_layer_state
chips,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips,NO,,,CURRENT_RAW_ONLY
chips[].chip_type,bootstrap-static.json,,str,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].chip_type,NO,,,CURRENT_RAW_ONLY
chips[].id,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].id,YES,fixture;player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2025-26_all_fixtures.csv;2026-27_all_fixtures.csv,BOTH
chips[].name,bootstrap-static.json,,str,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].name,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv,BOTH
chips[].number,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].number,NO,,,CURRENT_RAW_ONLY
chips[].overrides,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].overrides,NO,,,CURRENT_RAW_ONLY
chips[].overrides.pick_multiplier,bootstrap-static.json,,NoneType,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].overrides.pick_multiplier,NO,,,CURRENT_RAW_ONLY
chips[].overrides.rules,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].overrides.rules,NO,,,CURRENT_RAW_ONLY
chips[].overrides.scoring,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].overrides.scoring,NO,,,CURRENT_RAW_ONLY
chips[].start_event,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].start_event,NO,,,CURRENT_RAW_ONLY
chips[].stop_event,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].stop_event,NO,,,CURRENT_RAW_ONLY
events,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events,NO,,,CURRENT_RAW_ONLY
events[].average_entry_score,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].average_entry_score,NO,,,CURRENT_RAW_ONLY
events[].can_enter,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].can_enter,NO,,,CURRENT_RAW_ONLY
events[].can_manage,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].can_manage,NO,,,CURRENT_RAW_ONLY
events[].chip_plays,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].chip_plays,NO,,,CURRENT_RAW_ONLY
events[].chip_plays[].chip_name,bootstrap-static.json,,str,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].chip_plays[].chip_name,NO,,,CURRENT_RAW_ONLY
events[].chip_plays[].num_played,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].chip_plays[].num_played,NO,,,CURRENT_RAW_ONLY
events[].cup_leagues_created,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].cup_leagues_created,NO,,,CURRENT_RAW_ONLY
events[].data_checked,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].data_checked,NO,,,CURRENT_RAW_ONLY
events[].deadline_time,bootstrap-static.json,,str,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].deadline_time,NO,,,CURRENT_RAW_ONLY
events[].deadline_time_epoch,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].deadline_time_epoch,NO,,,CURRENT_RAW_ONLY
events[].deadline_time_game_offset,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].deadline_time_game_offset,NO,,,CURRENT_RAW_ONLY
events[].finished,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].finished,YES,fixture,2025-26_all_fixtures.csv;2026-27_all_fixtures.csv,BOTH
events[].h2h_ko_matches_created,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].h2h_ko_matches_created,NO,,,CURRENT_RAW_ONLY
events[].highest_score,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].highest_score,NO,,,CURRENT_RAW_ONLY
events[].highest_scoring_entry,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].highest_scoring_entry,NO,,,CURRENT_RAW_ONLY
events[].id,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].id,YES,fixture;player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2025-26_all_fixtures.csv;2026-27_all_fixtures.csv,BOTH
events[].is_current,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].is_current,NO,,,CURRENT_RAW_ONLY
events[].is_next,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].is_next,NO,,,CURRENT_RAW_ONLY
events[].is_previous,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].is_previous,NO,,,CURRENT_RAW_ONLY
events[].most_captained,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].most_captained,NO,,,CURRENT_RAW_ONLY
events[].most_selected,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].most_selected,NO,,,CURRENT_RAW_ONLY
events[].most_transferred_in,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].most_transferred_in,NO,,,CURRENT_RAW_ONLY
