"research_family","subclass","source_surface","resource","grain","field_name","field_type","semantic_status","canonical_attachment","relationship_kind","identity_contract","source_identity_required","notes"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_stats","object","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_stats[].label","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_stats[].name","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types","object","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].element_count","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].id","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].plural_name","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].plural_name_short","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].singular_name","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].singular_name_short","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].squad_max_play","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].squad_max_select","NoneType","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].squad_min_play","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].squad_min_select","NoneType","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].squad_select","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","element_types[].sub_positions_locked","object","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
