source_surface,resource,grain,field_name,field_type,semantic_status,navigation_category,navigation_subcategory,canonical_attachment,relationship_kind,identity_contract,source_identity_required,relationship_note,navigation_basis,source_statuses,source_types,notes
FRL_LOCAL_CSV,player_match,player_match,accurateCross,unknown,UNCATALOGUED,Crossing & Set Pieces,Crossing / set pieces,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10
FRL_LOCAL_CSV,player_match,player_match,accurateKeeperSweeper,unknown,UNCATALOGUED,Goalkeeping,Goalkeeping,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10
FRL_LOCAL_CSV,player_match,player_match,accurateLongBalls,unknown,exposed,Unclassified Review,Needs manual navigation review,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,exposed,unknown,coverage=CORE_DECADE; seasons=10/10
FRL_LOCAL_CSV,player_match,player_match,accurateOppositionHalfPasses,unknown,exposed,Passing & Distribution,Passing / distribution,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,exposed,unknown,coverage=CORE_DECADE; seasons=10/10
FRL_LOCAL_CSV,player_match,player_match,accurateOwnHalfPasses,unknown,exposed,Passing & Distribution,Passing / distribution,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,exposed,unknown,coverage=CORE_DECADE; seasons=10/10
FRL_LOCAL_CSV,player_match,player_match,accuratePass,unknown,exposed,Passing & Distribution,Passing / distribution,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,exposed,unknown,coverage=CORE_DECADE; seasons=10/10
FRL_LOCAL_CSV,player_match,player_match,aerialLost,unknown,exposed,Duels & Aerials,Duels / aerial play,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,exposed,unknown,coverage=CORE_DECADE; seasons=10/10
FRL_LOCAL_CSV,player_match,player_match,aerialWon,unknown,exposed,Duels & Aerials,Duels / aerial play,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,exposed,unknown,coverage=CORE_DECADE; seasons=10/10
FRL_LOCAL_CSV,player_match,player_match,ballCarriesCount,unknown,exposed,Unclassified Review,Needs manual navigation review,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,exposed,unknown,coverage=INTERMITTENT; seasons=4/10
FRL_LOCAL_CSV,player_match,player_match,ballRecovery,unknown,UNCATALOGUED,Possession & Ball Security,Possession / security,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10
FRL_LOCAL_CSV,player_match,player_match,bigChanceCreated,unknown,exposed,Chance Creation,Creation / chance generation,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.,heuristic navigation only; semantic approval unchanged,exposed,unknown,coverage=CORE_DECADE; seasons=10/10
