field_name,endpoint,path,type,sample,review_status
goalConversion,team_leaderboard,data[].stats.goalConversion,float,18.33,OPEN
goalConversion,team_stats,stats.goalConversion,float,1025.43,OPEN
halfTimeScore,match_detail,awayTeam.halfTimeScore,int,0,OPEN
halfTimeScore,match_detail,homeTeam.halfTimeScore,int,1,OPEN
halfTimeScore,matches,data[].awayTeam.halfTimeScore,int,0,OPEN
halfTimeScore,matches,data[].homeTeam.halfTimeScore,int,1,OPEN
ownGoalsAccrued,team_leaderboard,data[].stats.ownGoalsAccrued,float,3.0,OPEN
ownGoalsAccrued,team_stats,stats.ownGoalsAccrued,float,79.0,OPEN
pointsDroppedFromWinningPositions,team_leaderboard,data[].stats.pointsDroppedFromWinningPositions,float,20.0,OPEN
pointsDroppedFromWinningPositions,team_stats,stats.pointsDroppedFromWinningPositions,float,373.0,OPEN
pointsGainedFromLosingPositions,team_leaderboard,data[].stats.pointsGainedFromLosingPositions,float,5.0,OPEN
pointsGainedFromLosingPositions,team_stats,stats.pointsGainedFromLosingPositions,float,411.0,OPEN
redCards,match_detail,awayTeam.redCards,int,0,OPEN
redCards,match_detail,homeTeam.redCards,int,0,OPEN
redCards,matches,data[].awayTeam.redCards,int,0,OPEN
redCards,matches,data[].homeTeam.redCards,int,0,OPEN
resultType,match_detail,resultType,str,'NormalResult',OPEN
resultType,matches,data[].resultType,str,'NormalResult',OPEN
score,match_detail,awayTeam.score,int,2,OPEN
score,match_detail,homeTeam.score,int,4,OPEN
score,matches,data[].awayTeam.score,int,2,OPEN
score,matches,data[].homeTeam.score,int,4,OPEN
shotsOnConcededInsideBox,team_leaderboard,data[].stats.shotsOnConcededInsideBox,float,97.0,OPEN
shotsOnConcededInsideBox,team_stats,stats.shotsOnConcededInsideBox,float,2393.0,OPEN
shotsOnConcededOutsideBox,team_leaderboard,data[].stats.shotsOnConcededOutsideBox,float,30.0,OPEN
shotsOnConcededOutsideBox,team_stats,stats.shotsOnConcededOutsideBox,float,1013.0,OPEN
successfulOpenPlayPasses,team_leaderboard,data[].stats.successfulOpenPlayPasses,float,19028.0,OPEN
successfulOpenPlayPasses,team_stats,stats.successfulOpenPlayPasses,float,354776.0,OPEN
totalShotsConceded,team_leaderboard,data[].stats.totalShotsConceded,float,369.0,OPEN
totalShotsConceded,team_stats,stats.totalShotsConceded,float,8953.0,OPEN
unsuccessfulPassesOppositionHalf,team_leaderboard,data[].stats.unsuccessfulPassesOppositionHalf,float,2310.0,OPEN
unsuccessfulPassesOppositionHalf,team_stats,stats.unsuccessfulPassesOppositionHalf,float,81023.0,OPEN
