endpoint_name,field_name,field_path,field_type,sample
match_detail,halfTimeScore,awayTeam.halfTimeScore,int,0
match_detail,halfTimeScore,homeTeam.halfTimeScore,int,1
match_detail,redCards,awayTeam.redCards,int,0
match_detail,redCards,homeTeam.redCards,int,0
match_detail,resultType,resultType,str,'NormalResult'
match_detail,score,awayTeam.score,int,2
match_detail,score,homeTeam.score,int,4
match_events,assistPlayerId,awayTeam.goals[].assistPlayerId,str,'111317'
match_events,assistPlayerId,homeTeam.goals[].assistPlayerId,str,'243016'
match_events,cards,awayTeam.cards,array,list
match_events,cards,homeTeam.cards,array,list
match_events,goalType,awayTeam.goals[].goalType,str,'Goal'
match_events,goalType,homeTeam.goals[].goalType,str,'Goal'
match_lineups,formation,home_team.formation,object,dict
match_lineups,formation,home_team.formation.formation,str,'4-2-3-1'
match_lineups,formation,away_team.formation,object,dict
match_lineups,formation,away_team.formation.formation,str,'4-1-4-1'
match_lineups,lineup,home_team.formation.lineup,array,list
match_lineups,lineup,away_team.formation.lineup,array,list
matches,halfTimeScore,data[].awayTeam.halfTimeScore,int,0
matches,halfTimeScore,data[].homeTeam.halfTimeScore,int,1
matches,redCards,data[].awayTeam.redCards,int,0
matches,redCards,data[].homeTeam.redCards,int,0
matches,resultType,data[].resultType,str,'NormalResult'
matches,score,data[].awayTeam.score,int,2
matches,score,data[].homeTeam.score,int,4
player_leaderboard,stats,data[].stats,object,dict
player_season_stats,stats,stats,object,dict
team_leaderboard,crossingAccuracy,data[].stats.crossingAccuracy,float,26.82
team_leaderboard,goalConversion,data[].stats.goalConversion,float,18.33
team_leaderboard,ownGoalsAccrued,data[].stats.ownGoalsAccrued,float,3.0
team_leaderboard,passingAccuracy,data[].stats.passingAccuracy,float,88.51
team_leaderboard,passingPercentOppHalf,data[].stats.passingPercentOppHalf,float,85.92
team_leaderboard,pointsDroppedFromWinningPositions,data[].stats.pointsDroppedFromWinningPositions,float,20.0
team_leaderboard,pointsGainedFromLosingPositions,data[].stats.pointsGainedFromLosingPositions,float,5.0
team_leaderboard,shotsOnConcededInsideBox,data[].stats.shotsOnConcededInsideBox,float,97.0
team_leaderboard,shotsOnConcededOutsideBox,data[].stats.shotsOnConcededOutsideBox,float,30.0
team_leaderboard,stats,data[].stats,object,dict
team_leaderboard,successfulOpenPlayPasses,data[].stats.successfulOpenPlayPasses,float,19028.0
team_leaderboard,tackleSuccess,data[].stats.tackleSuccess,float,61.06
team_leaderboard,totalShotsConceded,data[].stats.totalShotsConceded,float,369.0
team_leaderboard,unsuccessfulPassesOppositionHalf,data[].stats.unsuccessfulPassesOppositionHalf,float,2310.0
team_stats,goalConversion,stats.goalConversion,float,1025.43
team_stats,goalsFromInsideBox,stats.goalsFromInsideBox,int,0
team_stats,goalsFromOutsideBox,stats.goalsFromOutsideBox,int,0
team_stats,ownGoalsAccrued,stats.ownGoalsAccrued,float,79.0
team_stats,ownGoalsConceded,stats.ownGoalsConceded,float,47.0
team_stats,pointsDroppedFromWinningPositions,stats.pointsDroppedFromWinningPositions,float,373.0
team_stats,pointsGainedFromLosingPositions,stats.pointsGainedFromLosingPositions,float,411.0
team_stats,shotsOnConcededInsideBox,stats.shotsOnConcededInsideBox,float,2393.0
team_stats,shotsOnConcededOutsideBox,stats.shotsOnConcededOutsideBox,float,1013.0
team_stats,stats,stats,object,dict
team_stats,successfulOpenPlayPasses,stats.successfulOpenPlayPasses,float,354776.0
team_stats,totalShotsConceded,stats.totalShotsConceded,float,8953.0
team_stats,totalSuccessfulPassesExclCrossesAndCorners,stats.totalSuccessfulPassesExclCrossesAndCorners,int,0
team_stats,unsuccessfulPassesOppositionHalf,stats.unsuccessfulPassesOppositionHalf,float,81023.0
