field_name,structure,field_types,endpoint_count,endpoints,path_count,exact_paths,samples
assistPlayerId,SCALAR,str,1,match_events,2,awayTeam.goals[].assistPlayerId | homeTeam.goals[].assistPlayerId,'111317' | '243016'
cards,CONTAINER_OR_NESTED,array,1,match_events,2,awayTeam.cards | homeTeam.cards,list
crossingAccuracy,SCALAR,float,1,team_leaderboard,1,data[].stats.crossingAccuracy,26.82
formation,CONTAINER_OR_NESTED,object | str,1,match_lineups,4,away_team.formation | away_team.formation.formation | home_team.formation | home_team.formation.formation,'4-1-4-1' | '4-2-3-1' | dict
goalConversion,SCALAR,float,2,team_leaderboard | team_stats,2,data[].stats.goalConversion | stats.goalConversion,1025.43 | 18.33
goalType,SCALAR,str,1,match_events,2,awayTeam.goals[].goalType | homeTeam.goals[].goalType,'Goal'
goalsFromInsideBox,SCALAR,int,1,team_stats,1,stats.goalsFromInsideBox,0
goalsFromOutsideBox,SCALAR,int,1,team_stats,1,stats.goalsFromOutsideBox,0
halfTimeScore,SCALAR,int,2,match_detail | matches,4,awayTeam.halfTimeScore | data[].awayTeam.halfTimeScore | data[].homeTeam.halfTimeScore | homeTeam.halfTimeScore,0 | 1
lineup,CONTAINER_OR_NESTED,array,1,match_lineups,2,away_team.formation.lineup | home_team.formation.lineup,list
ownGoalsAccrued,SCALAR,float,2,team_leaderboard | team_stats,2,data[].stats.ownGoalsAccrued | stats.ownGoalsAccrued,3.0 | 79.0
ownGoalsConceded,SCALAR,float,1,team_stats,1,stats.ownGoalsConceded,47.0
passingAccuracy,SCALAR,float,1,team_leaderboard,1,data[].stats.passingAccuracy,88.51
passingPercentOppHalf,SCALAR,float,1,team_leaderboard,1,data[].stats.passingPercentOppHalf,85.92
pointsDroppedFromWinningPositions,SCALAR,float,2,team_leaderboard | team_stats,2,data[].stats.pointsDroppedFromWinningPositions | stats.pointsDroppedFromWinningPositions,20.0 | 373.0
pointsGainedFromLosingPositions,SCALAR,float,2,team_leaderboard | team_stats,2,data[].stats.pointsGainedFromLosingPositions | stats.pointsGainedFromLosingPositions,411.0 | 5.0
redCards,SCALAR,int,2,match_detail | matches,4,awayTeam.redCards | data[].awayTeam.redCards | data[].homeTeam.redCards | homeTeam.redCards,0
resultType,SCALAR,str,2,match_detail | matches,2,data[].resultType | resultType,'NormalResult'
score,SCALAR,int,2,match_detail | matches,4,awayTeam.score | data[].awayTeam.score | data[].homeTeam.score | homeTeam.score,2 | 4
shotsOnConcededInsideBox,SCALAR,float,2,team_leaderboard | team_stats,2,data[].stats.shotsOnConcededInsideBox | stats.shotsOnConcededInsideBox,2393.0 | 97.0
shotsOnConcededOutsideBox,SCALAR,float,2,team_leaderboard | team_stats,2,data[].stats.shotsOnConcededOutsideBox | stats.shotsOnConcededOutsideBox,1013.0 | 30.0
stats,CONTAINER_OR_NESTED,object,4,player_leaderboard | player_season_stats | team_leaderboard | team_stats,2,data[].stats | stats,dict
successfulOpenPlayPasses,SCALAR,float,2,team_leaderboard | team_stats,2,data[].stats.successfulOpenPlayPasses | stats.successfulOpenPlayPasses,19028.0 | 354776.0
tackleSuccess,SCALAR,float,1,team_leaderboard,1,data[].stats.tackleSuccess,61.06
totalShotsConceded,SCALAR,float,2,team_leaderboard | team_stats,2,data[].stats.totalShotsConceded | stats.totalShotsConceded,369.0 | 8953.0
totalSuccessfulPassesExclCrossesAndCorners,SCALAR,int,1,team_stats,1,stats.totalSuccessfulPassesExclCrossesAndCorners,0
unsuccessfulPassesOppositionHalf,SCALAR,float,2,team_leaderboard | team_stats,2,data[].stats.unsuccessfulPassesOppositionHalf | stats.unsuccessfulPassesOppositionHalf,2310.0 | 81023.0
