field_name,state,live_endpoints,historical_grains,candidate_family,review_status,candidate_role
_limit,LIVE_ONLY,competition_teams | match_commentary | matches | player_directory | player_leaderboard | season_teams | team_leaderboard,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN,REVIEW
_next,LIVE_ONLY,competition_teams | match_commentary | matches | player_directory | player_leaderboard | season_teams | team_leaderboard,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN,REVIEW
_prev,LIVE_ONLY,competition_teams | match_commentary | matches | player_directory | player_leaderboard | season_teams | team_leaderboard,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN,REVIEW
abbr,LIVE_ONLY,competition_teams | match_detail | matches | season_teams | standings | team_leaderboard | team_stats,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN,REVIEW
assistPlayerId,LIVE_ONLY,match_events,,FOOTBALL_RESEARCH,OPEN,ANALYTICAL_CANDIDATE
awayTeam,LIVE_ONLY,match_detail | match_events | matches,,FOOTBALL_RESEARCH,OPEN,REVIEW
away_team,LIVE_ONLY,match_lineups,,FOOTBALL_RESEARCH,OPEN,REVIEW
cards,LIVE_ONLY,match_events,,FOOTBALL_RESEARCH,OPEN,ANALYTICAL_CANDIDATE
clock,LIVE_ONLY,match_detail | matches,,FOOTBALL_RESEARCH,OPEN,REVIEW
comment,LIVE_ONLY,match_commentary,,FOOTBALL_RESEARCH,OPEN,REVIEW
competition,LIVE_ONLY,match_detail | matches | standings,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN,IDENTITY_CONTEXT
competitionId,LIVE_ONLY,match_detail | matches | player_directory | player_season_info | team_squad,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN,IDENTITY_CONTEXT
country,LIVE_ONLY,player_basic | player_directory | player_leaderboard | player_season_info | player_season_stats | season_awards | season_teams | team_squad,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN,IDENTITY_CONTEXT
