field_name,source_surface,resource,grain,source_identifier_status,relationship_contract_status,identity_contract,relationship_kind,canonical_attachment,relationship_note
accurateCross,,team_match,team_match,,,,,,
accurateKeeperSweeper,,team_match,team_match,,,,,,
accurateLongBalls,,team_match,team_match,,,,,,
accuratePass,,team_match,team_match,,,,,,
aerialLost,,team_match,team_match,,,,,,
aerialWon,,team_match,team_match,,,,,,
ballRecovery,,team_match,team_match,,,,,,
bigChanceCreated,,team_match,team_match,,,,,,
bigChanceMissed,,team_match,team_match,,,,,,
challengeLost,,team_match,team_match,,,,,,
clearanceOffLine,,team_match,team_match,,,,,,
dispossessed,,team_match,team_match,,,,,,
duelLost,,team_match,team_match,,,,,,
duelWon,,team_match,team_match,,,,,,
expectedAssists,,team_match,team_match,,,,,,
expectedGoals,,team_match,team_match,,,,,,
expectedGoalsOnTarget,,team_match,team_match,,,,,,
gameweek,,team_match,team_match,,,,,,
goalAssist,,team_match,team_match,,,,,,
goals,,player_season,player_season,,,,,,
goodHighClaim,,team_match,team_match,,,,,,
hitWoodwork,,team_match,team_match,,,,,,
interceptionWon,,team_match,team_match,,,,,,
matchId,,team_match,team_match,,,,,,
outfielderBlock,,team_match,team_match,,,,,,
ownGoals,,team_match,team_match,,,,,,
penaltyConceded,,team_match,team_match,,,,,,
penaltyFaced,,team_match,team_match,,,,,,
penaltySave,,team_match,team_match,,,,,,
penaltyWon,,team_match,team_match,,,,,,
playerId,,squad,squad,,,,,,
playerName,,player_season,player_season,,,,,,
position,,squad,squad,,,,,,
punches,,team_match,team_match,,,,,,
saves,,team_match,team_match,,,,,,
season,,player_season,player_season,,,,,,
shotOffTarget,,team_match,team_match,,,,,,
team,,team_match,team_match,,,,,,
team_id,,team_match,team_match,,,,,,
totalClearance,,team_match,team_match,,,,,,
totalContest,,team_match,team_match,,,,,,
totalCross,,team_match,team_match,,,,,,
totalKeeperSweeper,,team_match,team_match,,,,,,
totalLongBalls,,team_match,team_match,,,,,,
totalOffside,,team_match,team_match,,,,,,
totalPass,,team_match,team_match,,,,,,
totalShots,,player_season,player_season,,,,,,
totalTackle,,team_match,team_match,,,,,,
touches,,team_match,team_match,,,,,,
unsuccessfulTouch,,team_match,team_match,,,,,,
venue,,team_match,team_match,,,,,,
wonContest,,team_match,team_match,,,,,,
wonTackle,,team_match,team_match,,,,,,
expectedAssists,,team_match,team_match,,,,,,
expectedGoals,,team_match,team_match,,,,,,
expectedGoalsFreekick,,team_match,team_match,,,,,,
expectedGoalsOnTarget,,team_match,team_match,,,,,,
expectedGoalsOnTargetConceded,,team_match,team_match,,,,,,
fiftyFifty,,team_match,team_match,,,,,,
freekickTotal,,team_match,team_match,,,,,,
goalKicks,,team_match,team_match,,,,,,
hitWoodwork,,team_match,team_match,,,,,,
nationality,,squad,squad,,,,,,
playerId,,squad,squad,,,,,,
position,,squad,squad,,,,,,
punches,,team_match,team_match,,,,,,
successfulFiftyFifty,,team_match,team_match,,,,,,
team_id,,team_match,team_match,,,,,,
touches,,team_match,team_match,,,,,,
winningGoal,,team_match,team_match,,,,,,
age,,squad,squad,,,,,,
birthCountry,,squad,squad,,,,,,
birthDate,,squad,squad,,,,,,
displayName,,squad,squad,,,,,,
firstName,,squad,squad,,,,,,
height_cm,,squad,squad,,,,,,
isoCode,,squad,squad,,,,,,
joinDate,,squad,squad,,,,,,
lastName,,squad,squad,,,,,,
nationality,,squad,squad,,,,,,
onLoan,,squad,squad,,,,,,
playerId,,squad,squad,,,,,,
position,,squad,squad,,,,,,
preferredFoot,,squad,squad,,,,,,
shirtNumber,,squad,squad,,,,,,
weight_kg,,squad,squad,,,,,,
