field_name,resource,field_type,path_root,object_family_candidate,triage_status,triage_basis,current_raw_found,historical_found
game_config,bootstrap-static.json,object,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.clean_sheets.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.clean_sheets.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.clean_sheets.GKP,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.clean_sheets.MID,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.defensive_contribution.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.defensive_contribution.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.defensive_contribution.GKP,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.defensive_contribution.MID,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.goals_conceded.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.goals_conceded.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.goals_conceded.GKP,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.goals_conceded.MID,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.goals_scored.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.goals_scored.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.goals_scored.GKP,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.goals_scored.MID,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.long_play,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_clean_sheets.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_clean_sheets.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_clean_sheets.GKP,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_clean_sheets.MID,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_draw.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_draw.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_draw.GKP,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_draw.MID,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_goals_scored.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_goals_scored.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_goals_scored.GKP,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_goals_scored.MID,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_underdog_draw.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_underdog_draw.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_underdog_draw.GKP,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_underdog_draw.MID,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_underdog_win.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_underdog_win.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_underdog_win.GKP,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_underdog_win.MID,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_win.DEF,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
game_config.scoring.mng_win.FWD,bootstrap-static.json,int,game_config,game_config,OBJECT_FAMILY_CANDIDATE,explicit bootstrap JSON path root maps to a known FPL object family,NO,NO
