field_name,subpath,field_type,object_family_candidate,configuration_role,classification_basis,review_status,resolution
game_config,game_config,object,game_config,GAME_CONFIGURATION,top-level game_config property,OPEN,
game_config.scoring.clean_sheets.DEF,scoring.clean_sheets.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.clean_sheets.FWD,scoring.clean_sheets.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.clean_sheets.GKP,scoring.clean_sheets.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.clean_sheets.MID,scoring.clean_sheets.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.defensive_contribution.DEF,scoring.defensive_contribution.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.defensive_contribution.FWD,scoring.defensive_contribution.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.defensive_contribution.GKP,scoring.defensive_contribution.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.defensive_contribution.MID,scoring.defensive_contribution.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.goals_conceded.DEF,scoring.goals_conceded.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.goals_conceded.FWD,scoring.goals_conceded.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.goals_conceded.GKP,scoring.goals_conceded.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.goals_conceded.MID,scoring.goals_conceded.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.goals_scored.DEF,scoring.goals_scored.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.goals_scored.FWD,scoring.goals_scored.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.goals_scored.GKP,scoring.goals_scored.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.goals_scored.MID,scoring.goals_scored.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.long_play,scoring.long_play,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_clean_sheets.DEF,scoring.mng_clean_sheets.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_clean_sheets.FWD,scoring.mng_clean_sheets.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_clean_sheets.GKP,scoring.mng_clean_sheets.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_clean_sheets.MID,scoring.mng_clean_sheets.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_draw.DEF,scoring.mng_draw.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_draw.FWD,scoring.mng_draw.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_draw.GKP,scoring.mng_draw.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_draw.MID,scoring.mng_draw.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_goals_scored.DEF,scoring.mng_goals_scored.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_goals_scored.FWD,scoring.mng_goals_scored.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_goals_scored.GKP,scoring.mng_goals_scored.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_goals_scored.MID,scoring.mng_goals_scored.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_underdog_draw.DEF,scoring.mng_underdog_draw.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_underdog_draw.FWD,scoring.mng_underdog_draw.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_underdog_draw.GKP,scoring.mng_underdog_draw.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_underdog_draw.MID,scoring.mng_underdog_draw.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_underdog_win.DEF,scoring.mng_underdog_win.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_underdog_win.FWD,scoring.mng_underdog_win.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_underdog_win.GKP,scoring.mng_underdog_win.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_underdog_win.MID,scoring.mng_underdog_win.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_win.DEF,scoring.mng_win.DEF,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_win.FWD,scoring.mng_win.FWD,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_win.GKP,scoring.mng_win.GKP,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.mng_win.MID,scoring.mng_win.MID,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.short_play,scoring.short_play,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.scoring.special_multiplier,scoring.special_multiplier,int,game_config,SCORING_CONFIGURATION,game_config scoring rule,OPEN,
game_config.settings,settings,object,game_config,GAME_CONFIGURATION,top-level game_config property,OPEN,
game_config.settings.entry_per_event,settings.entry_per_event,bool,game_config,GAME_SETTINGS,game_config setting,OPEN,
game_config.settings.price_change_deadlines,settings.price_change_deadlines,object,game_config,GAME_SETTINGS,game_config setting,OPEN,
game_config.settings.static_content_url,settings.static_content_url,str,game_config,GAME_SETTINGS,game_config setting,OPEN,
