grain,field_name,state
player_match,accurateCross,BOTH
player_match,accurateKeeperSweeper,BOTH
player_match,accurateLongBalls,BOTH
player_match,accurateOppositionHalfPasses,BOTH
player_match,accurateOwnHalfPasses,BOTH
player_match,accuratePass,BOTH
player_match,aerialLost,BOTH
player_match,aerialWon,BOTH
player_match,ballCarriesCount,BOTH
player_match,ballRecovery,BOTH
player_match,bigChanceCreated,BOTH
player_match,bigChanceMissed,BOTH
player_match,blockedScoringAttempt,BOTH
player_match,challengeLost,BOTH
player_match,clearanceOffLine,BOTH
player_match,crossNotClaimed,BOTH
player_match,dispossessed,BOTH
player_match,duelLost,BOTH
player_match,duelWon,BOTH
player_match,errorLeadToAGoal,BOTH
player_match,errorLeadToAShot,BOTH
player_match,expectedAssists,BOTH
player_match,expectedGoals,BOTH
player_match,expectedGoalsOnTarget,BOTH
player_match,fouls,BOTH
player_match,gameweek,BOTH
player_match,goalAssist,BOTH
player_match,goals,BOTH
player_match,goalsPrevented,BOTH
player_match,goodHighClaim,BOTH
player_match,hitWoodwork,BOTH
player_match,interceptionWon,BOTH
player_match,keyPass,BOTH
player_match,lastManTackle,BOTH
player_match,matchId,BOTH
player_match,metersCoveredHighSpeedRunningKm,BOTH
player_match,metersCoveredJoggingKm,BOTH
player_match,metersCoveredRunningKm,BOTH
player_match,metersCoveredSprintingKm,BOTH
player_match,metersCoveredWalkingKm,BOTH
player_match,minutesPlayed,BOTH
player_match,onTargetScoringAttempt,BOTH
player_match,outfielderBlock,BOTH
player_match,ownGoals,BOTH
player_match,penaltyConceded,BOTH
player_match,penaltyFaced,BOTH
player_match,penaltyMiss,BOTH
player_match,penaltySave,BOTH
player_match,penaltyWon,BOTH
player_match,pl_code,BOTH
player_match,playerId,BOTH
player_match,playerName,BOTH
player_match,position,BOTH
player_match,possessionLostCtrl,BOTH
player_match,progressiveBallCarriesCount,BOTH
player_match,punches,BOTH
player_match,rating,BOTH
player_match,savedShotsFromInsideTheBox,BOTH
player_match,saves,BOTH
player_match,season,BOTH
player_match,shotOffTarget,BOTH
player_match,slug,BOTH
player_match,substitute,BOTH
player_match,substitute.1,BOTH
player_match,team,BOTH
player_match,team_id,BOTH
player_match,totalBallCarriesDistance,BOTH
player_match,totalClearance,BOTH
player_match,totalContest,BOTH
player_match,totalCross,BOTH
player_match,totalKeeperSweeper,BOTH
player_match,totalLongBalls,BOTH
player_match,totalOffside,BOTH
player_match,totalOppositionHalfPasses,BOTH
player_match,totalOwnHalfPasses,BOTH
player_match,totalPass,BOTH
player_match,totalProgression,BOTH
player_match,totalProgressiveBallCarriesDistance,BOTH
player_match,totalShots,BOTH
player_match,totalTackle,BOTH
player_match,touches,BOTH
player_match,unsuccessfulTouch,BOTH
player_match,venue,BOTH
player_match,wasFouled,BOTH
player_match,wonContest,BOTH
player_match,wonTackle,BOTH
player_season,aerialDuels,BOTH
player_season,aerialDuelsLost,BOTH
player_season,aerialDuelsWon,BOTH
player_season,appearances,BOTH
player_season,attemptsFromSetPieces,BOTH
player_season,awayGoals,BOTH
player_season,backwardPasses,BOTH
player_season,blockedShots,BOTH
player_season,blocks,BOTH
player_season,catches,BOTH
player_season,cleanSheets,BOTH
player_season,clearancesOffTheLine,BOTH
player_season,cornersTakenInclShortCorners,BOTH
player_season,cornersWon,BOTH
player_season,crossesNotClaimed,BOTH
player_season,drops,BOTH
player_season,duels,BOTH
player_season,duelsLost,BOTH
player_season,duelsWon,BOTH
player_season,expectedAssists,BOTH
player_season,expectedGoals,BOTH
player_season,expectedGoalsFreekick,BOTH
player_season,expectedGoalsOnTarget,BOTH
player_season,expectedGoalsOnTargetConceded,BOTH
player_season,fiftyFifty,FRL_ONLY
player_season,forwardPasses,BOTH
player_season,foulAttemptedTackle,BOTH
player_season,foulWonPenalty,BOTH
player_season,freekickTotal,BOTH
player_season,gamesPlayed,BOTH
player_season,gkSuccessfulDistribution,BOTH
player_season,gkUnsuccessfulDistribution,BOTH
player_season,goalAssists,BOTH
player_season,goalKicks,BOTH
player_season,goalkeeperSmother,BOTH
player_season,goals,BOTH
player_season,goalsConceded,BOTH
player_season,goalsConcededInsideBox,BOTH
player_season,goalsConcededOutsideBox,BOTH
player_season,groundDuels,BOTH
player_season,groundDuelsLost,BOTH
player_season,groundDuelsWon,BOTH
player_season,handballsConceded,BOTH
player_season,headedGoals,BOTH
player_season,hitWoodwork,BOTH
player_season,homeGoals,BOTH
player_season,iboxBlocked,BOTH
player_season,iboxTarget,BOTH
player_season,interceptions,BOTH
player_season,keyPassesAttemptAssists,BOTH
player_season,lastPlayerTackle,BOTH
player_season,leftFootGoals,BOTH
player_season,leftsidePasses,BOTH
player_season,nationality,BOTH
player_season,oboxBlocked,BOTH
player_season,oboxTarget,BOTH
player_season,offsides,BOTH
player_season,openPlayPasses,BOTH
player_season,otherGoals,FRL_ONLY
player_season,overruns,BOTH
player_season,ownGoalScored,BOTH
player_season,penaltiesConceded,BOTH
player_season,penaltiesFaced,BOTH
player_season,penaltiesSaved,BOTH
player_season,penaltiesTaken,BOTH
player_season,penaltyGoals,BOTH
player_season,penaltyGoalsConceded,BOTH
player_season,playerId,BOTH
player_season,playerName,BOTH
player_season,position,BOTH
player_season,punches,BOTH
player_season,putthroughBlockedDistribution,BOTH
player_season,putthroughBlockedDistributionWon,BOTH
player_season,recoveries,BOTH
player_season,redCards2ndYellow,BOTH
player_season,rightFootGoals,BOTH
player_season,rightsidePasses,BOTH
player_season,savesFromPenalty,BOTH
player_season,savesMade,BOTH
player_season,savesMadeCaught,BOTH
player_season,savesMadeFromInsideBox,BOTH
player_season,savesMadeFromOutsideBox,BOTH
player_season,savesMadeParried,BOTH
player_season,season,BOTH
player_season,secondGoalAssists,BOTH
player_season,setPiecesGoals,BOTH
player_season,shotsBlockedInBox,BOTH
player_season,shotsBlockedOutsideBox,BOTH
player_season,shotsOffTargetIncWoodwork,BOTH
player_season,shotsOnTargetInBox,BOTH
player_season,shotsOnTargetIncGoals,BOTH
player_season,shotsOnTargetOutsideBox,BOTH
player_season,starts,BOTH
player_season,straightRedCards,BOTH
player_season,substituteOff,BOTH
player_season,substituteOn,BOTH
player_season,successfulCornersIntoBox,BOTH
player_season,successfulCrossesAndCorners,BOTH
player_season,successfulCrossesOpenPlay,BOTH
player_season,successfulDribbles,BOTH
player_season,successfulFiftyFifty,FRL_ONLY
player_season,successfulLaunches,BOTH
player_season,successfulLayoffs,BOTH
player_season,successfulLongPasses,BOTH
player_season,successfulPassesOppositionHalf,BOTH
player_season,successfulPassesOwnHalf,BOTH
player_season,successfulShortPasses,BOTH
player_season,tacklesLost,BOTH
player_season,tacklesWon,BOTH
player_season,team_id,BOTH
player_season,team_name,BOTH
player_season,throughBalls,BOTH
player_season,throwInsToOppositionPlayer,BOTH
player_season,throwInsToOwnPlayer,BOTH
player_season,timePlayed,BOTH
player_season,timesTackled,BOTH
player_season,totalClearances,BOTH
player_season,totalFoulsConceded,BOTH
player_season,totalFoulsWon,BOTH
player_season,totalLossesOfPossession,BOTH
player_season,totalPasses,BOTH
player_season,totalRedCards,BOTH
player_season,totalShots,BOTH
player_season,totalTackles,BOTH
player_season,totalTouchesInOppositionBox,BOTH
player_season,totalUnsuccessfulPassesExclCrossesAndCorners,BOTH
player_season,touches,BOTH
player_season,unsuccessfulCornersIntoBox,BOTH
player_season,unsuccessfulCrossesAndCorners,BOTH
player_season,unsuccessfulCrossesOpenPlay,BOTH
player_season,unsuccessfulDribbles,BOTH
player_season,unsuccessfulLaunches,BOTH
