season,source_player_id,team_name,display_name,first_name,last_name,nationality,nationality_code,birth_date,birth_country,preferred_foot,height_cm,weight_kg,shirt_number,join_date,on_loan,source_file
2016-17,1616,Liverpool,Alexander Manninger,Alexander,Manninger,Austria,AT,1977-06-04,Austria,Right,189.0,85.0,13,2016-07-22,False,Liverpool_14/squad/2016-17_squad.csv
2016-17,1632,Everton,Gareth Barry,Gareth,Barry,England,GB-ENG,1981-02-23,,,183,78,18.0,2014-07-08,False,Everton_11/squad/2016-17_squad.csv
2016-17,1718,Chelsea,John Terry,John,Terry,England,GB-ENG,1980-12-07,England,,187,90,26.0,1997-07-01,False,Chelsea_8/squad/2016-17_squad.csv
2016-17,1801,Burnley,Paul Robinson,Paul,Robinson,England,GB-ENG,1979-10-15,,,193,90,17.0,2016-01-26,False,Burnley_90/squad/2016-17_squad.csv
2016-17,1822,Stoke,Shay Given,Shay,Given,Ireland,IE,1976-04-20,,,185.0,84.0,24,2015-07-10,False,Stoke_110/squad/2016-17_squad.csv
2016-17,2404,Man Utd,Michael Carrick,Michael,Carrick,England,GB-ENG,1981-07-28,England,,188.0,74.0,16.0,2006-07-31,False,Man_Utd_1/squad/2016-17_squad.csv
2016-17,3201,Southampton,Stuart Taylor,Stuart,Taylor,England,GB-ENG,1980-11-28,,,198,85,28.0,2016-08-26,False,Southampton_20/squad/2016-17_squad.csv
2016-17,3736,Sunderland,John O'Shea,John,O'Shea,Ireland,IE,1981-04-30,,,191.0,75.0,16,2011-07-07,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,3773,Stoke,Peter Crouch,Peter,Crouch,England,GB-ENG,1981-01-30,,,201.0,75.0,25,2011-08-31,False,Stoke_110/squad/2016-17_squad.csv
2016-17,5288,Swansea,Gerhard Tremmel,Gerhard,Tremmel,Germany,DE,1978-11-16,Germany,Right,190,89.0,25,2011-08-31,False,Swansea_80/squad/2016-17_squad.csv
2016-17,6744,Stoke,Lee Grant,Lee,Grant,England,GB-ENG,1983-01-27,,,193.0,83.0,33,2017-01-04,False,Stoke_110/squad/2016-17_squad.csv
2016-17,7525,Sunderland,Steven Pienaar,Steven,Pienaar,South Africa,ZA,1982-03-17,South Africa,,170.0,69.0,20,2016-08-19,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,7551,Sunderland,Joleon Lescott,Joleon,Lescott,England,GB-ENG,1982-08-16,,,190.0,89.0,15,2017-01-24,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,7645,Everton,Phil Jagielka,Phil,Jagielka,England,GB-ENG,1982-08-17,England,,180,87,6.0,2007-07-04,False,Everton_11/squad/2016-17_squad.csv
2016-17,7906,Palace,Damien Delaney,Damien,Delaney,Ireland,IE,1981-07-20,,,191.0,89.0,27,2012-08-31,False,Palace_31/squad/2016-17_squad.csv
2016-17,7958,Sunderland,Jermain Defoe,Jermain,Defoe,England,GB-ENG,1982-10-07,England,,171.0,65.0,18,2015-01-16,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,8380,West Ham,James Collins,James,Collins,Wales,GB-WLS,1983-08-23,,,188.0,83.0,19.0,2012-08-01,False,West_Ham_21/squad/2016-17_squad.csv
2016-17,9047,Stoke,Glen Johnson,Glen,Johnson,England,GB-ENG,1984-08-23,England,,182.0,78.0,8,2015-07-12,False,Stoke_110/squad/2016-17_squad.csv
2016-17,9089,West Brom,Ben Foster,Ben,Foster,England,GB-ENG,1983-04-03,England,,193.0,79.0,1,2012-07-30,False,West_Brom_35/squad/2016-17_squad.csv
2016-17,9110,Hull,Shaun Maloney,Shaun,Maloney,Scotland,GB-SCT,1983-01-24,,,170.0,69.0,15,2015-08-27,False,Hull_88/squad/2016-17_squad.csv
2016-17,9808,Man Utd,Zlatan Ibrahimovic,Zlatan,Ibrahimovic,Sweden,SE,1981-10-03,Sweden,Right,195.0,95.0,9.0,2016-07-01,False,Man_Utd_1/squad/2016-17_squad.csv
2016-17,10318,Everton,Maarten Stekelenburg,Maarten,Stekelenburg,Netherlands,NL,1982-09-22,Netherlands,Right,197,92,22.0,2016-07-01,False,Everton_11/squad/2016-17_squad.csv
2016-17,10460,Middlesbrough,Grant Leadbitter,Grant,Leadbitter,England,GB-ENG,1986-01-07,,,177,79,7.0,2012-07-01,False,Middlesbrough_25/squad/2016-17_squad.csv
2016-17,11334,Arsenal,Petr Cech,Petr,Cech,Czech Republic,CZ,1982-05-20,,,196,90,33,2015-07-02,False,Arsenal_3/squad/2016-17_squad.csv
2016-17,11467,Sunderland,Billy Jones,Billy,Jones,England,GB-ENG,1987-03-24,,,181.0,77.0,2,2014-07-01,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,11554,Palace,Julian Speroni,Julian,Speroni,Argentina,AR,1979-05-18,,,186.0,87.0,1,2002-08-01,False,Palace_31/squad/2016-17_squad.csv
2016-17,11829,Swansea,Wayne Routledge,Wayne,Routledge,England,GB-ENG,1985-01-07,,,170,64.0,15,2011-08-04,False,Swansea_80/squad/2016-17_squad.csv
2016-17,11974,Hull,Eldin Jakupovic,Eldin,Jakupovic,Switzerland,CH,1984-10-02,,,191.0,85.0,16,2012-07-09,False,Hull_88/squad/2016-17_squad.csv
2016-17,12002,Middlesbrough,Stewart Downing,Stewart,Downing,England,GB-ENG,1984-07-22,,,180,64,19.0,2015-07-17,False,Middlesbrough_25/squad/2016-17_squad.csv
2016-17,12086,West Brom,Boaz Myhill,Boaz,Myhill,Wales,GB-WLS,1982-11-09,,,191.0,91.0,13,2010-07-30,False,West_Brom_35/squad/2016-17_squad.csv
2016-17,12150,Stoke,Glenn Whelan,Glenn,Whelan,Ireland,IE,1984-01-13,Republic of Ireland,,180.0,79.0,6,2008-01-31,False,Stoke_110/squad/2016-17_squad.csv
2016-17,12390,Hull,Allan McGregor,Allan,McGregor,Scotland,GB-SCT,1982-01-31,Scotland,,183.0,74.0,1,2013-07-02,False,Hull_88/squad/2016-17_squad.csv
