season,source_player_id,source_player_name,source_position,source_appearances,source_starts,source_minutes,expected_goals,expected_assists,accurate_opposition_half_passes,forward_passes,recoveries,tackles_won
2016-17,1616,Alexander Manninger,Goalkeeper,,,,,,,,,
2016-17,1632,Gareth Barry,Midfielder,33.0,23.0,2112.0,0.897,1.8032,634.0,522.0,168.0,48.0
2016-17,1718,John Terry,Defender,9.0,6.0,494.0,0.9837,0.7731,71.0,102.0,16.0,2.0
2016-17,1801,Paul Robinson,Goalkeeper,3.0,3.0,270.0,,0.0337,35.0,99.0,24.0,
2016-17,1822,Shay Given,Goalkeeper,5.0,5.0,450.0,,0.0139,39.0,111.0,50.0,
2016-17,2404,Michael Carrick,Midfielder,23.0,18.0,1599.0,0.335,1.0772,615.0,448.0,107.0,17.0
2016-17,3201,Stuart Taylor,Goalkeeper,,,,,,,,,
2016-17,3736,John O'Shea,Defender,28.0,26.0,2160.0,0.262,0.4106,125.0,280.0,92.0,18.0
2016-17,3773,Peter Crouch,Forward,27.0,13.0,1335.0,6.1647,1.3678,213.0,141.0,33.0,2.0
2016-17,5288,Gerhard Tremmel,Goalkeeper,,,,,,,,,
2016-17,6744,Lee Grant,Goalkeeper,28.0,28.0,2520.0,,0.0786,292.0,748.0,240.0,
2016-17,7525,Steven Pienaar,Midfielder,15.0,10.0,808.0,0.7728,0.3904,200.0,101.0,55.0,14.0
2016-17,7551,Joleon Lescott,Defender,2.0,1.0,123.0,,0.0047,8.0,17.0,4.0,
2016-17,7645,Phil Jagielka,Defender,27.0,25.0,2249.0,1.5834,0.4042,304.0,479.0,111.0,32.0
2016-17,7906,Damien Delaney,Defender,30.0,21.0,2007.0,0.3389,1.4327,189.0,455.0,85.0,20.0
2016-17,7958,Jermain Defoe,Forward,37.0,37.0,3322.0,13.2805,1.6828,230.0,91.0,73.0,12.0
2016-17,8380,James Collins,Defender,22.0,19.0,1654.0,0.9579,0.1779,103.0,268.0,60.0,17.0
2016-17,9047,Glen Johnson,Defender,23.0,21.0,1955.0,0.4933,1.0903,318.0,340.0,116.0,35.0
2016-17,9089,Ben Foster,Goalkeeper,38.0,38.0,3420.0,0.0341,0.1436,317.0,1048.0,345.0,
