season,name,persistent_team_code,research_player_ids,source_player_ids,status
2016-17,aaron lennon,1,,9692,MISSING_RESEARCH_RECORD
2016-17,aaron ramsey,90,,23571,MISSING_RESEARCH_RECORD
2016-17,adam lallana,110,,17054,MISSING_RESEARCH_RECORD
2016-17,ademola lookman,1,,824200,MISSING_RESEARCH_RECORD
2016-17,ahmed musa,20,,139502,MISSING_RESEARCH_RECORD
2016-17,ainsley maitland niles,90,,352768,MISSING_RESEARCH_RECORD
2016-17,alberto moreno,110,,229740,MISSING_RESEARCH_RECORD
2016-17,alex iwobi,90,,352770,MISSING_RESEARCH_RECORD
2016-17,alex manninger,110,,2921,MISSING_RESEARCH_RECORD
2016-17,alex mccarthy,21,,45502,MISSING_RESEARCH_RECORD
2016-17,alex oxlade chamberlain,90,,10577,MISSING_RESEARCH_RECORD
2016-17,alexis sanchez,90,,34120,MISSING_RESEARCH_RECORD
2016-17,ander herrera,3,,82474,MISSING_RESEARCH_RECORD
2016-17,andy king,20,,30530,MISSING_RESEARCH_RECORD
2016-17,angel gomes,3,,867441,MISSING_RESEARCH_RECORD
2016-17,anthony martial,3,,191176,MISSING_RESEARCH_RECORD
2016-17,antonio valencia,3,,11820,MISSING_RESEARCH_RECORD
2016-17,arouna kone,1,,12790,MISSING_RESEARCH_RECORD
2016-17,ashley williams,1,,20204,MISSING_RESEARCH_RECORD
2016-17,ashley young,3,,10589,MISSING_RESEARCH_RECORD
2016-17,asmir begovic,13,,13918,MISSING_RESEARCH_RECORD
2016-17,axel tuanzebe,3,,817979,MISSING_RESEARCH_RECORD
2016-17,bartosz kapustka,20,,309648,MISSING_RESEARCH_RECORD
2016-17,bastian schweinsteiger,3,,326,MISSING_RESEARCH_RECORD
2016-17,ben chilwell,20,,802695,MISSING_RESEARCH_RECORD
2016-17,ben davies,11,,94758,MISSING_RESEARCH_RECORD
2016-17,ben hamer,20,,16807,MISSING_RESEARCH_RECORD
2016-17,ben woodburn,110,,843270,MISSING_RESEARCH_RECORD
2016-17,branislav ivanovic,13,,25233,MISSING_RESEARCH_RECORD
2016-17,brendan galloway,1,,198030,MISSING_RESEARCH_RECORD
2016-17,bryan oviedo,1,,109064,MISSING_RESEARCH_RECORD
2016-17,calum chambers,90,,227942,MISSING_RESEARCH_RECORD
2016-17,cameron carter vickers,11,,795972,MISSING_RESEARCH_RECORD
2016-17,carl jenkinson,90,,137844,MISSING_RESEARCH_RECORD
2016-17,cedric soares,21,,44760,MISSING_RESEARCH_RECORD
2016-17,cesar azpilicueta,13,,21555,MISSING_RESEARCH_RECORD
2016-17,cesc fabregas,13,,518,MISSING_RESEARCH_RECORD
2016-17,charlie austin,21,,97905,MISSING_RESEARCH_RECORD
2016-17,chris smalling,3,,47741,MISSING_RESEARCH_RECORD
2016-17,christian eriksen,11,,105734,MISSING_RESEARCH_RECORD
2016-17,christian fuchs,20,,1262,MISSING_RESEARCH_RECORD
2016-17,chuba akpom,90,,190867,MISSING_RESEARCH_RECORD
2016-17,connor randall,110,,787580,MISSING_RESEARCH_RECORD
2016-17,cuco martina,21,,73763,MISSING_RESEARCH_RECORD
2016-17,daley blind,3,,44864,MISSING_RESEARCH_RECORD
2016-17,daniel amartey,20,,308526,MISSING_RESEARCH_RECORD
2016-17,daniel sturridge,110,,20963,MISSING_RESEARCH_RECORD
2016-17,danny drinkwater,20,,54330,MISSING_RESEARCH_RECORD
2016-17,danny rose,11,,16586,MISSING_RESEARCH_RECORD
2016-17,danny simpson,20,,30502,MISSING_RESEARCH_RECORD
2016-17,danny welbeck,90,,33902,MISSING_RESEARCH_RECORD
2016-17,david de gea,3,,69378,MISSING_RESEARCH_RECORD
2016-17,david luiz,13,,21300,MISSING_RESEARCH_RECORD
2016-17,david ospina,90,,33596,MISSING_RESEARCH_RECORD
2016-17,dejan lovren,110,,39480,MISSING_RESEARCH_RECORD
2016-17,dele alli,11,,198028,MISSING_RESEARCH_RECORD
2016-17,demarai gray,20,,355152,MISSING_RESEARCH_RECORD
2016-17,demetri mitchell,3,,548196,MISSING_RESEARCH_RECORD
2016-17,diego costa,13,,21212,MISSING_RESEARCH_RECORD
2016-17,divock origi,110,,190399,MISSING_RESEARCH_RECORD
2016-17,dominic calvert lewin,1,,372344,MISSING_RESEARCH_RECORD
2016-17,dominic solanke,13,,361420,MISSING_RESEARCH_RECORD
2016-17,dusan tadic,21,,38560,MISSING_RESEARCH_RECORD
2016-17,eden hazard,13,,27583,MISSING_RESEARCH_RECORD
2016-17,eduardo,13,,18868,MISSING_RESEARCH_RECORD
2016-17,elliott moore,20,,855652,MISSING_RESEARCH_RECORD
2016-17,emiliano martinez,90,,158263,MISSING_RESEARCH_RECORD
2016-17,emre can,110,,138156,MISSING_RESEARCH_RECORD
2016-17,enner valencia,1,,106456,MISSING_RESEARCH_RECORD
2016-17,eric bailly,3,,606346,MISSING_RESEARCH_RECORD
2016-17,eric dier,11,,146101,MISSING_RESEARCH_RECORD
2016-17,erik lamela,11,,122702,MISSING_RESEARCH_RECORD
2016-17,filip lesniak,11,,325119,MISSING_RESEARCH_RECORD
2016-17,florin gardos,21,,83553,MISSING_RESEARCH_RECORD
2016-17,francis coquelin,90,,40672,MISSING_RESEARCH_RECORD
2016-17,fraser forster,21,,19314,MISSING_RESEARCH_RECORD
2016-17,gabriel paulista,90,,124737,MISSING_RESEARCH_RECORD
2016-17,gareth barry,1,,544,MISSING_RESEARCH_RECORD
2016-17,gary cahill,13,,9628,MISSING_RESEARCH_RECORD
2016-17,georges kevin nkoudou,11,,342909,MISSING_RESEARCH_RECORD
2016-17,georginio wijnaldum,110,,22126,MISSING_RESEARCH_RECORD
2016-17,gerard deulofeu,1,,96372,MISSING_RESEARCH_RECORD
2016-17,granit xhaka,90,,117777,MISSING_RESEARCH_RECORD
2016-17,harrison reed,21,,365802,MISSING_RESEARCH_RECORD
2016-17,harry kane,11,,108579,MISSING_RESEARCH_RECORD
2016-17,harry lewis,21,,815927,MISSING_RESEARCH_RECORD
2016-17,harry wilson,110,,355528,MISSING_RESEARCH_RECORD
2016-17,harry winks,11,,545780,MISSING_RESEARCH_RECORD
2016-17,hector bellerin,90,,188365,MISSING_RESEARCH_RECORD
2016-17,henrikh mkhitaryan,3,,37151,MISSING_RESEARCH_RECORD
2016-17,hugo lloris,11,,9048,MISSING_RESEARCH_RECORD
2016-17,idrissa gana gueye,1,,106337,MISSING_RESEARCH_RECORD
2016-17,islam slimani,20,,238708,MISSING_RESEARCH_RECORD
2016-17,jack stephens,21,,134361,MISSING_RESEARCH_RECORD
2016-17,jack wilshere,90,,38094,MISSING_RESEARCH_RECORD
2016-17,jake hesketh,21,,783888,MISSING_RESEARCH_RECORD
2016-17,james mccarthy,1,,39283,MISSING_RESEARCH_RECORD
2016-17,james milner,110,,791,MISSING_RESEARCH_RECORD
2016-17,james ward prowse,21,,161717,MISSING_RESEARCH_RECORD
2016-17,jamie vardy,20,,173827,MISSING_RESEARCH_RECORD
2016-17,jan vertonghen,11,,16921,MISSING_RESEARCH_RECORD
2016-17,jay rodriguez,21,,26989,MISSING_RESEARCH_RECORD
2016-17,jeff reine adelaide,90,,794269,MISSING_RESEARCH_RECORD
2016-17,jeffrey schlupp,20,,148710,MISSING_RESEARCH_RECORD
2016-17,jeremy pied,21,,37761,MISSING_RESEARCH_RECORD
2016-17,jesse lingard,3,,205508,MISSING_RESEARCH_RECORD
2016-17,joe gomez,110,,318927,MISSING_RESEARCH_RECORD
2016-17,joe williams,1,,784501,MISSING_RESEARCH_RECORD
2016-17,joel matip,110,,51501,MISSING_RESEARCH_RECORD
2016-17,joel pereira,3,,788135,MISSING_RESEARCH_RECORD
2016-17,joel robles,1,,93796,MISSING_RESEARCH_RECORD
2016-17,john terry,13,,1205,MISSING_RESEARCH_RECORD
2016-17,jonjoe kenny,1,,361310,MISSING_RESEARCH_RECORD
2016-17,jordan henderson,110,,42694,MISSING_RESEARCH_RECORD
2016-17,jordy clasie,21,,116946,MISSING_RESEARCH_RECORD
2016-17,jose fonte,21,,27622,MISSING_RESEARCH_RECORD
2016-17,josh harrop,3,,2079932,MISSING_RESEARCH_RECORD
2016-17,josh sims,21,,548198,MISSING_RESEARCH_RECORD
2016-17,joshua onomah,11,,361332,MISSING_RESEARCH_RECORD
