field_name,endpoint,path,type,sample
aerialDuels,,data[].stats.aerialDuels,float,118.0
aerialDuels,,stats.aerialDuels,float,118.0
aerialDuelsLost,,data[].stats.aerialDuelsLost,float,45.0
aerialDuelsLost,,stats.aerialDuelsLost,float,45.0
aerialDuelsWon,,data[].stats.aerialDuelsWon,float,73.0
aerialDuelsWon,,stats.aerialDuelsWon,float,73.0
appearances,,data[].stats.appearances,float,35.0
appearances,,stats.appearances,float,35.0
blockedShots,,data[].stats.blockedShots,float,24.0
blockedShots,,stats.blockedShots,float,24.0
blocks,,data[].stats.blocks,float,1.0
blocks,,stats.blocks,float,1.0
cleanSheets,,data[].stats.cleanSheets,float,8.0
cleanSheets,,stats.cleanSheets,float,8.0
cornersWon,,data[].stats.cornersWon,float,23.0
cornersWon,,stats.cornersWon,float,23.0
duels,,data[].stats.duels,float,241.0
duels,,stats.duels,float,241.0
duelsLost,,data[].stats.duelsLost,float,111.0
duelsLost,,stats.duelsLost,float,111.0
duelsWon,,data[].stats.duelsWon,float,130.0
duelsWon,,stats.duelsWon,float,130.0
gamesPlayed,,data[].stats.gamesPlayed,float,35.0
gamesPlayed,,stats.gamesPlayed,float,35.0
goals,,data[].stats.goals,float,27.0
goals,,stats.goals,float,27.0
goalsConceded,,data[].stats.goalsConceded,float,32.0
goalsConceded,,stats.goalsConceded,float,32.0
goalsConcededInsideBox,,data[].stats.goalsConcededInsideBox,float,25.0
goalsConcededInsideBox,,stats.goalsConcededInsideBox,float,25.0
goalsConcededOutsideBox,,data[].stats.goalsConcededOutsideBox,float,7.0
goalsConcededOutsideBox,,stats.goalsConcededOutsideBox,float,7.0
interceptions,,data[].stats.interceptions,float,5.0
interceptions,,stats.interceptions,float,5.0
offsides,,data[].stats.offsides,float,5.0
offsides,,stats.offsides,float,5.0
openPlayPasses,,data[].stats.openPlayPasses,float,369.0
openPlayPasses,,stats.openPlayPasses,float,369.0
penaltiesTaken,,data[].stats.penaltiesTaken,float,4.0
penaltiesTaken,,stats.penaltiesTaken,float,4.0
penaltyGoals,,data[].stats.penaltyGoals,float,3.0
penaltyGoals,,stats.penaltyGoals,float,3.0
penaltyGoalsConceded,,data[].stats.penaltyGoalsConceded,float,1.0
penaltyGoalsConceded,,stats.penaltyGoalsConceded,float,1.0
shotsBlockedInBox,,stats.shotsBlockedInBox,float,20.0
shotsBlockedOutsideBox,,stats.shotsBlockedOutsideBox,float,4.0
shotsOffTargetIncWoodwork,,data[].stats.shotsOffTargetIncWoodwork,float,43.0
shotsOffTargetIncWoodwork,,stats.shotsOffTargetIncWoodwork,float,43.0
shotsOnTargetInBox,,stats.shotsOnTargetInBox,float,30.0
shotsOnTargetIncGoals,,data[].stats.shotsOnTargetIncGoals,float,59.0
shotsOnTargetIncGoals,,stats.shotsOnTargetIncGoals,float,59.0
shotsOnTargetOutsideBox,,stats.shotsOnTargetOutsideBox,float,2.0
starts,,data[].stats.starts,float,34.0
starts,,stats.starts,float,34.0
successfulCrossesAndCorners,,data[].stats.successfulCrossesAndCorners,float,1.0
successfulCrossesAndCorners,,stats.successfulCrossesAndCorners,float,1.0
successfulCrossesOpenPlay,,data[].stats.successfulCrossesOpenPlay,float,1.0
successfulCrossesOpenPlay,,stats.successfulCrossesOpenPlay,float,1.0
successfulDribbles,,data[].stats.successfulDribbles,float,17.0
successfulDribbles,,stats.successfulDribbles,float,17.0
successfulLaunches,,data[].stats.successfulLaunches,float,1.0
successfulLaunches,,stats.successfulLaunches,float,1.0
successfulLayoffs,,data[].stats.successfulLayoffs,float,33.0
