endpoint,field_path,field_name,field_type,sample
player_season_stats,player,player,dict,"{'currentTeam': {'name': 'Manchester City', 'id': '43', 'shortName': 'Man City'}, 'firstName': 'Erling', 'lastName': 'Haaland', 'country': {'isoCode': 'NO', 'country': 'Norway', 'demonym': 'Norwegian'"
player_season_stats,player.country,country,dict,"{'isoCode': 'NO', 'country': 'Norway', 'demonym': 'Norwegian'}"
player_season_stats,player.country.country,country,str,'Norway'
player_season_stats,player.country.demonym,demonym,str,'Norwegian'
player_season_stats,player.country.isoCode,isoCode,str,'NO'
player_season_stats,player.currentTeam,currentTeam,dict,"{'name': 'Manchester City', 'id': '43', 'shortName': 'Man City'}"
player_season_stats,player.currentTeam.id,id,str,'43'
player_season_stats,player.currentTeam.name,name,str,'Manchester City'
player_season_stats,player.currentTeam.shortName,shortName,str,'Man City'
player_season_stats,player.firstName,firstName,str,'Erling'
player_season_stats,player.id,id,str,'223094'
player_season_stats,player.lastName,lastName,str,'Haaland'
player_season_stats,player.name,name,str,'Erling Haaland'
player_season_stats,player.position,position,str,'Forward'
player_season_stats,stats,stats,dict,"{'duelsLost': 111.0, 'successfulCrossesOpenPlay': 1.0, 'totalRedCards': 0.0, 'blockedShots': 24.0, 'shotsOnTargetIncGoals': 59.0, 'overruns': 2.0, 'totalTackles': 15.0, 'totalShots': 102.0, 'throughBa"
player_season_stats,stats.aerialDuels,aerialDuels,float,118.0
player_season_stats,stats.aerialDuelsLost,aerialDuelsLost,float,45.0
player_season_stats,stats.aerialDuelsWon,aerialDuelsWon,float,73.0
player_season_stats,stats.appearances,appearances,float,35.0
player_season_stats,stats.awayGoals,awayGoals,float,12.0
player_season_stats,stats.backwardPasses,backwardPasses,float,88.0
player_season_stats,stats.blockedShots,blockedShots,float,24.0
player_season_stats,stats.blocks,blocks,float,1.0
player_season_stats,stats.cleanSheets,cleanSheets,float,8.0
player_season_stats,stats.cornersWon,cornersWon,float,23.0
player_season_stats,stats.duels,duels,float,241.0
player_season_stats,stats.duelsLost,duelsLost,float,111.0
player_season_stats,stats.duelsWon,duelsWon,float,130.0
player_season_stats,stats.forwardPasses,forwardPasses,float,75.0
player_season_stats,stats.foulAttemptedTackle,foulAttemptedTackle,float,2.0
player_season_stats,stats.gamesPlayed,gamesPlayed,float,35.0
player_season_stats,stats.goalAssists,goalAssists,float,8.0
player_season_stats,stats.goals,goals,float,27.0
player_season_stats,stats.goalsConceded,goalsConceded,float,32.0
player_season_stats,stats.goalsConcededInsideBox,goalsConcededInsideBox,float,25.0
player_season_stats,stats.goalsConcededOutsideBox,goalsConcededOutsideBox,float,7.0
