season,canonical_fixture_id,source_match_id,source_pulse_fixture_id,expected_goal_count,observed_goal_count,goal_count_match,source_event_id,source_event_type,source_event_seconds,source_event_time_label,source_event_text,source_scorer_name,source_scorer_team,source_scorer_id,source_assist_ids,source_fixture_home,source_fixture_away,source_fixture_home_score,source_fixture_away_score,source_url,retrieved_at_utc
2016-17,1,855174,14042,1,1,true,104621,goal,4912,82,"Goal!  Burnley 0, Swansea City 1. Leroy Fer (Swansea City) right footed shot from very close range to the bottom right corner.",Leroy Fer,Swansea City,4810,,,,0,1,https://footballapi.pulselive.com/football/fixtures/14042/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:36.170977Z
2016-17,2,855176,14044,1,1,true,104584,goal,4417,74,"Goal!  Crystal Palace 0, West Bromwich Albion 1. Salomón Rondón (West Bromwich Albion) header from the centre of the box to the bottom left corner. Assisted by James McClean with a cross   following a set piece situation.",Salomón Rondón,West Bromwich Albion,6030,4395,,,0,1,https://footballapi.pulselive.com/football/fixtures/14044/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:37.006678Z
2016-17,3,855177,14045,2,2,true,104492,goal,3530,59,"Goal!  Everton 1, Tottenham Hotspur 1. Erik Lamela (Tottenham Hotspur) header from the centre of the box to the bottom left corner. Assisted by Kyle Walker with a cross.",Erik Lamela,Tottenham Hotspur,4842,3955,,,1,1,https://footballapi.pulselive.com/football/fixtures/14045/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:37.967169Z
2016-17,3,855177,14045,2,2,true,104202,goal,293,05,"Goal!  Everton 1, Tottenham Hotspur 0. Ross Barkley (Everton) from a free kick with a right footed shot to the bottom right corner.",Ross Barkley,Everton,4115,,,,1,1,https://footballapi.pulselive.com/football/fixtures/14045/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:37.967169Z
2016-17,4,855178,14046,3,3,true,104113,goal,3372,57,"Goal!  Hull City 2, Leicester City 1. Robert Snodgrass (Hull City) left footed shot from the centre of the box to the bottom right corner.",Robert Snodgrass,Hull City,4558,,,,2,1,https://footballapi.pulselive.com/football/fixtures/14046/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:38.733197Z
2016-17,4,855178,14046,3,3,true,104103,penalty goal,2813,47,"Goal!  Hull City 1, Leicester City 1. Riyad Mahrez (Leicester City) converts the penalty with a left footed shot to the centre of the goal.",Riyad Mahrez,Leicester City,8983,,,,2,1,https://footballapi.pulselive.com/football/fixtures/14046/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:38.733197Z
2016-17,4,855178,14046,3,3,true,104093,goal,2759,45+1,"Goal!  Hull City 1, Leicester City 0. Adama Diomande (Hull City) right footed shot from the right side of the six yard box to the top left corner. Assisted by Abel Hernández   following a corner.",Adama Diomande,Hull City,12983,10460,,,2,1,https://footballapi.pulselive.com/football/fixtures/14046/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:38.733197Z
2016-17,5,855179,14047,3,2,false,104808,goal,4238,71,"Goal!  Manchester City 1, Sunderland 1. Jermain Defoe (Sunderland) right footed shot from the centre of the box to the centre of the goal. Assisted by Jack Rodwell with a through ball.",Jermain Defoe,Sunderland,1526,3389,,,2,1,https://footballapi.pulselive.com/football/fixtures/14047/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:39.534463Z
2016-17,5,855179,14047,3,2,false,104745,penalty goal,223,04,"Goal!  Manchester City 1, Sunderland 0. Sergio Agüero (Manchester City) converts the penalty with a right footed shot to the bottom left corner.",Sergio Agüero,Manchester City,4328,,,,2,1,https://footballapi.pulselive.com/football/fixtures/14047/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:39.534463Z
2016-17,6,855180,14048,2,2,true,104561,goal,4007,67,"Goal!  Middlesbrough 1, Stoke City 1. Xherdan Shaqiri (Stoke City) from a free kick with a left footed shot to the bottom right corner.",Xherdan Shaqiri,Stoke City,5267,,,,1,1,https://footballapi.pulselive.com/football/fixtures/14048/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:40.355695Z
