season,canonical_fixture_id,source_match_id,source_pulse_fixture_id,source_event_id,source_event_type,source_event_time_label,source_scorer_name,source_scorer_team,source_fixture_home,source_fixture_away,source_fixture_home_score,source_fixture_away_score,own_goal,scoring_side,evidence_origin,evidence_source_url,evidence_retrieved_at_utc
2016-17,23,855194,14062,recovery-855194-01,own goal,51,Shay Given,Stoke City,Everton,Stoke City,1,0,true,home,SECONDARY_VERIFIED,https://www.skysports.com/football/news/11671/10555182/match-in-a-minute-charlie-nicholas-verdict-on-everton-1-0-stoke,2026-08-19T21:50:00Z
2016-17,99,855270,14138,recovery-855270-01,own goal,82,Michael Dawson,Hull City,Watford,Hull City,1,0,true,home,SECONDARY_VERIFIED,https://www.itv.com/news/2016-10-29/premier-league-match-report-watford-1-0-hull,2026-08-19T21:50:00Z
2016-17,130,855301,14169,recovery-855301-01,own goal,29,Heurelho Gomes,Watford,Watford,Stoke City,0,1,true,away,SECONDARY_VERIFIED,https://en.wikipedia.org/wiki/2016%E2%80%9317_Stoke_City_F.C._season,2026-08-19T21:50:00Z
2016-17,271,855443,14310,recovery-855443-01,own goal,86,Robert Huth,Leicester City,Arsenal,Leicester City,1,0,true,home,SECONDARY_VERIFIED,https://www.11v11.com/matches/arsenal-v-leicester-city-26-april-2017-352893/,2026-08-19T21:50:00Z
2016-17,282,855453,14321,recovery-855453-01,own goal,68,Troy Deeney,Watford,Crystal Palace,Watford,1,0,true,home,SECONDARY_VERIFIED,https://www.skysports.com/football/c-palace-vs-watford/356616,2026-08-19T21:50:00Z
2016-17,305,855476,14344,recovery-855476-01,goal,22,Phil Jagielka,Everton,Manchester United,Everton,1,1,false,away,SECONDARY_VERIFIED,https://www.bbc.co.uk/sport/football/39414200,2026-08-19T21:50:00Z
2016-17,305,855476,14344,recovery-855476-02,penalty goal,90+4,Zlatan Ibrahimovic,Manchester United,Manchester United,Everton,1,1,false,home,SECONDARY_VERIFIED,https://www.bbc.co.uk/sport/football/39414200,2026-08-19T21:50:00Z
2016-17,306,855477,14345,recovery-855477-01,goal,11,Wayne Routledge,Swansea City,Swansea City,Tottenham Hotspur,1,3,false,home,SECONDARY_VERIFIED,https://www.standard.co.uk/sport/football/swansea-vs-tottenham-live-latest-score-goal-updates-team-news-premier-league-highlights-at-liberty-stadium-a3508201.html,2026-08-19T21:50:00Z
2016-17,306,855477,14345,recovery-855477-02,goal,88,Dele Alli,Tottenham Hotspur,Swansea City,Tottenham Hotspur,1,3,false,away,SECONDARY_VERIFIED,https://www.standard.co.uk/sport/football/swansea-vs-tottenham-live-latest-score-goal-updates-team-news-premier-league-highlights-at-liberty-stadium-a3508201.html,2026-08-19T21:50:00Z
2016-17,306,855477,14345,recovery-855477-03,goal,90+1,Son Heung-min,Tottenham Hotspur,Swansea City,Tottenham Hotspur,1,3,false,away,SECONDARY_VERIFIED,https://www.standard.co.uk/sport/football/swansea-vs-tottenham-live-latest-score-goal-updates-team-news-premier-league-highlights-at-liberty-stadium-a3508201.html,2026-08-19T21:50:00Z
2016-17,306,855477,14345,recovery-855477-04,goal,90+4,Christian Eriksen,Tottenham Hotspur,Swansea City,Tottenham Hotspur,1,3,false,away,SECONDARY_VERIFIED,https://www.standard.co.uk/sport/football/swansea-vs-tottenham-live-latest-score-goal-updates-team-news-premier-league-highlights-at-liberty-stadium-a3508201.html,2026-08-19T21:50:00Z
2016-17,307,855478,14346,recovery-855478-01,goal,13,M'Baye Niang,Watford,Watford,West Bromwich Albion,2,0,false,home,SECONDARY_VERIFIED,https://www.skysports.com/football/watford-vs-w-brom/356641,2026-08-19T21:50:00Z
2016-17,307,855478,14346,recovery-855478-02,goal,49,Troy Deeney,Watford,Watford,West Bromwich Albion,2,0,false,home,SECONDARY_VERIFIED,https://www.skysports.com/football/watford-vs-w-brom/356641,2026-08-19T21:50:00Z
2016-17,308,855479,14347,recovery-855479-01,goal,10,Eden Hazard,Chelsea,Chelsea,Manchester City,2,1,false,home,SECONDARY_VERIFIED,https://chelsealive.net/match/chelsea-vs-manchester-city/2017-04-05,2026-08-19T21:50:00Z
2016-17,308,855479,14347,recovery-855479-02,goal,26,Sergio Agüero,Manchester City,Chelsea,Manchester City,2,1,false,away,SECONDARY_VERIFIED,https://chelsealive.net/match/chelsea-vs-manchester-city/2017-04-05,2026-08-19T21:50:00Z
2016-17,308,855479,14347,recovery-855479-03,goal,35,Eden Hazard,Chelsea,Chelsea,Manchester City,2,1,false,home,SECONDARY_VERIFIED,https://chelsealive.net/match/chelsea-vs-manchester-city/2016-17,2026-08-19T21:50:00Z
2016-17,310,855481,14349,recovery-855481-01,goal,31,Christian Benteke,Crystal Palace,Southampton,Crystal Palace,3,1,false,away,SECONDARY_VERIFIED,https://www.standard.co.uk/sport/football/southampton-3-crystal-palace-1-eagles-winning-run-ends-after-late-collapse-a3508321.html,2026-08-19T21:50:00Z
2016-17,310,855481,14349,recovery-855481-02,goal,45,Nathan Redmond,Southampton,Southampton,Crystal Palace,3,1,false,home,SECONDARY_VERIFIED,https://www.standard.co.uk/sport/football/southampton-3-crystal-palace-1-eagles-winning-run-ends-after-late-collapse-a3508321.html,2026-08-19T21:50:00Z
2016-17,310,855481,14349,recovery-855481-03,goal,84,Maya Yoshida,Southampton,Southampton,Crystal Palace,3,1,false,home,SECONDARY_VERIFIED,https://www.standard.co.uk/sport/football/southampton-3-crystal-palace-1-eagles-winning-run-ends-after-late-collapse-a3508321.html,2026-08-19T21:50:00Z
