season,canonical_fixture_id,source_match_id,source_pulse_fixture_id,expected_goal_count,observed_goal_count,status,error,retrieved_at_utc
2016-17,1,855174,14042,1,1,OK,,2026-08-19T17:08:36.170977Z
2016-17,2,855176,14044,1,1,OK,,2026-08-19T17:08:37.006678Z
2016-17,3,855177,14045,2,2,OK,,2026-08-19T17:08:37.967169Z
2016-17,4,855178,14046,3,3,OK,,2026-08-19T17:08:38.733197Z
2016-17,5,855179,14047,3,2,GOAL_COUNT_MISMATCH,"Expected 3 goals, observed 2",2026-08-19T17:08:39.534463Z
2016-17,6,855180,14048,2,2,OK,,2026-08-19T17:08:40.355695Z
2016-17,7,855181,14049,2,2,OK,,2026-08-19T17:08:41.164996Z
2016-17,8,855173,14040,7,7,OK,,2026-08-19T17:08:42.009681Z
2016-17,9,855172,14041,4,4,OK,,2026-08-19T17:08:42.780231Z
2016-17,10,855175,14043,3,3,OK,,2026-08-19T17:08:43.617459Z
2016-17,11,855184,14052,2,2,OK,,2026-08-19T17:08:44.400195Z
2016-17,12,855444,14312,2,2,OK,,2026-08-19T17:08:45.256764Z
2016-17,13,,,0,0,NO_GOALS_EXPECTED,,2026-08-19T17:08:45.460412Z
2016-17,14,855185,14053,5,5,OK,,2026-08-19T17:08:46.084541Z
2016-17,15,855187,14055,2,2,OK,,2026-08-19T17:08:46.917581Z
2016-17,16,855188,14056,1,1,OK,,2026-08-19T17:08:47.755567Z
2016-17,17,855189,14057,3,3,OK,,2026-08-19T17:08:48.597578Z
2016-17,18,855190,14058,3,3,OK,,2026-08-19T17:08:49.382554Z
2016-17,19,855186,14054,3,3,OK,,2026-08-19T17:08:50.172419Z
2016-17,20,855191,14059,1,1,OK,,2026-08-19T17:08:51.019433Z
2016-17,21,855192,14060,3,3,OK,,2026-08-19T17:08:51.842147Z
2016-17,22,855193,14061,2,2,OK,,2026-08-19T17:08:52.696762Z
2016-17,23,855194,14062,1,0,GOAL_COUNT_MISMATCH,"Expected 1 goals, observed 0",2026-08-19T17:08:53.508034Z
2016-17,24,855195,14063,1,1,OK,,2026-08-19T17:08:54.306130Z
2016-17,25,855196,14064,3,3,OK,,2026-08-19T17:08:55.124631Z
2016-17,26,855198,14066,2,2,OK,,2026-08-19T17:08:55.925709Z
2016-17,27,855199,14067,2,2,OK,,2026-08-19T17:08:56.782680Z
2016-17,28,855200,14068,4,4,OK,,2026-08-19T17:08:57.670135Z
2016-17,29,855197,14065,4,4,OK,,2026-08-19T17:08:58.426442Z
2016-17,30,,,0,0,NO_GOALS_EXPECTED,,2026-08-19T17:08:58.630333Z
2016-17,31,855203,14070,3,2,GOAL_COUNT_MISMATCH,"Expected 3 goals, observed 2",2026-08-19T17:08:59.205498Z
2016-17,32,855202,14071,1,1,OK,,2026-08-19T17:09:00.035468Z
2016-17,33,855204,14072,2,2,OK,,2026-08-19T17:09:00.862422Z
2016-17,34,855205,14073,5,5,OK,,2026-08-19T17:09:01.657208Z
2016-17,35,855206,14074,3,3,OK,,2026-08-19T17:09:02.477490Z
2016-17,36,855207,14075,3,3,OK,,2026-08-19T17:09:03.261589Z
2016-17,37,855208,14076,4,4,OK,,2026-08-19T17:09:04.149450Z
2016-17,38,855211,14079,6,6,OK,,2026-08-19T17:09:04.934483Z
2016-17,39,855210,14078,4,4,OK,,2026-08-19T17:09:05.787658Z
2016-17,40,855209,14077,3,3,OK,,2026-08-19T17:09:06.597123Z
2016-17,41,855212,14080,3,3,OK,,2026-08-19T17:09:07.424221Z
2016-17,42,855214,14082,4,3,GOAL_COUNT_MISMATCH,"Expected 4 goals, observed 3",2026-08-19T17:09:08.263087Z
2016-17,43,855215,14083,5,5,OK,,2026-08-19T17:09:09.159687Z
2016-17,44,855216,14084,3,2,GOAL_COUNT_MISMATCH,"Expected 3 goals, observed 2",2026-08-19T17:09:09.984804Z
2016-17,45,855217,14085,4,4,OK,,2026-08-19T17:09:10.788346Z
2016-17,46,855221,14089,6,6,OK,,2026-08-19T17:09:11.607429Z
2016-17,47,855213,14081,5,5,OK,,2026-08-19T17:09:12.432681Z
2016-17,48,855218,14086,1,1,OK,,2026-08-19T17:09:13.278926Z
2016-17,49,855219,14087,1,1,OK,,2026-08-19T17:09:14.087490Z
2016-17,50,855220,14088,4,4,OK,,2026-08-19T17:09:14.864909Z
2016-17,51,855223,14090,3,3,OK,,2026-08-19T17:09:15.746403Z
2016-17,52,855222,14091,1,1,OK,,2026-08-19T17:09:16.542198Z
2016-17,53,855225,14093,6,6,OK,,2026-08-19T17:09:17.286005Z
2016-17,54,855226,14094,5,5,OK,,2026-08-19T17:09:18.017493Z
2016-17,55,855227,14095,3,3,OK,,2026-08-19T17:09:18.949328Z
2016-17,56,855228,14096,2,2,OK,,2026-08-19T17:09:19.749327Z
2016-17,57,855229,14097,5,5,OK,,2026-08-19T17:09:20.722496Z
2016-17,58,855230,14098,4,4,OK,,2026-08-19T17:09:21.581885Z
2016-17,59,855231,14099,3,3,OK,,2026-08-19T17:09:22.399726Z
2016-17,60,855224,14092,2,2,OK,,2026-08-19T17:09:23.331923Z
2016-17,61,855232,14100,1,1,OK,,2026-08-19T17:09:24.052429Z
2016-17,62,855233,14101,2,2,OK,,2026-08-19T17:09:24.921012Z
2016-17,63,855234,14102,2,2,OK,,2026-08-19T17:09:25.742868Z
2016-17,64,,,0,0,NO_GOALS_EXPECTED,,2026-08-19T17:09:25.948882Z
2016-17,65,855236,14104,2,2,OK,,2026-08-19T17:09:26.592961Z
2016-17,66,855237,14105,2,2,OK,,2026-08-19T17:09:27.342077Z
2016-17,67,855238,14106,3,3,OK,,2026-08-19T17:09:28.165847Z
2016-17,68,855239,14107,2,1,GOAL_COUNT_MISMATCH,"Expected 2 goals, observed 1",2026-08-19T17:09:28.955061Z
2016-17,69,855240,14108,4,4,OK,,2026-08-19T17:09:29.843405Z
2016-17,70,855241,14109,2,2,OK,,2026-08-19T17:09:30.672143Z
2016-17,71,855243,14110,5,5,OK,,2026-08-19T17:09:31.452194Z
2016-17,72,855242,14111,7,7,OK,,2026-08-19T17:09:32.281869Z
2016-17,73,855244,14112,3,3,OK,,2026-08-19T17:09:33.082866Z
2016-17,74,855245,14113,1,1,OK,,2026-08-19T17:09:33.941993Z
2016-17,75,,,0,0,NO_GOALS_EXPECTED,,2026-08-19T17:09:34.149904Z
2016-17,76,855247,14115,2,2,OK,,2026-08-19T17:09:34.795650Z
2016-17,77,855248,14116,1,1,OK,,2026-08-19T17:09:35.679045Z
2016-17,78,855249,14117,4,4,OK,,2026-08-19T17:09:36.552276Z
2016-17,79,855250,14118,2,2,OK,,2026-08-19T17:09:37.412610Z
2016-17,80,855251,14119,2,2,OK,,2026-08-19T17:09:38.323749Z
2016-17,81,,,0,0,NO_GOALS_EXPECTED,,2026-08-19T17:09:38.530674Z
2016-17,82,,,0,0,NO_GOALS_EXPECTED,,2026-08-19T17:09:38.535041Z
2016-17,83,855254,14122,3,3,OK,,2026-08-19T17:09:39.312989Z
2016-17,84,855255,14123,4,4,OK,,2026-08-19T17:09:40.180901Z
2016-17,85,855256,14124,2,2,OK,,2026-08-19T17:09:41.024521Z
2016-17,86,855257,14125,4,4,OK,,2026-08-19T17:09:41.818125Z
2016-17,87,855258,14126,3,3,OK,,2026-08-19T17:09:42.838225Z
2016-17,88,855259,14127,2,2,OK,,2026-08-19T17:09:43.681593Z
2016-17,89,,,0,0,NO_GOALS_EXPECTED,,2026-08-19T17:09:43.890933Z
2016-17,90,855261,14129,1,1,OK,,2026-08-19T17:09:44.484674Z
2016-17,91,855262,14130,6,6,OK,,2026-08-19T17:09:45.386563Z
2016-17,92,855263,14131,2,2,OK,,2026-08-19T17:09:46.292700Z
2016-17,93,,,0,0,NO_GOALS_EXPECTED,,2026-08-19T17:09:46.501011Z
2016-17,94,855265,14133,2,2,OK,,2026-08-19T17:09:47.156385Z
2016-17,95,855266,14134,2,2,OK,,2026-08-19T17:09:47.972122Z
2016-17,96,855267,14135,4,3,GOAL_COUNT_MISMATCH,"Expected 4 goals, observed 3",2026-08-19T17:09:48.804326Z
2016-17,97,855268,14136,5,5,OK,,2026-08-19T17:09:49.579220Z
2016-17,98,855269,14137,2,2,OK,,2026-08-19T17:09:50.437284Z
2016-17,99,855270,14138,1,0,GOAL_COUNT_MISMATCH,"Expected 1 goals, observed 0",2026-08-19T17:09:51.277335Z
2016-17,100,855271,14139,4,4,OK,,2026-08-19T17:09:52.108878Z
2016-17,101,855273,14140,2,1,GOAL_COUNT_MISMATCH,"Expected 2 goals, observed 1",2026-08-19T17:09:52.916808Z
2016-17,102,855272,14141,3,3,OK,,2026-08-19T17:09:53.892000Z
2016-17,103,855274,14142,5,5,OK,,2026-08-19T17:09:54.754287Z
2016-17,104,855275,14143,5,5,OK,,2026-08-19T17:09:55.553311Z
2016-17,105,855276,14144,3,3,OK,,2026-08-19T17:09:56.469145Z
2016-17,106,855277,14145,3,3,OK,,2026-08-19T17:09:57.250852Z
2016-17,107,855278,14146,7,7,OK,,2026-08-19T17:09:58.128983Z
2016-17,108,855279,14147,2,2,OK,,2026-08-19T17:09:59.008657Z
2016-17,109,855280,14148,4,4,OK,,2026-08-19T17:09:59.785625Z
2016-17,110,855281,14149,2,1,GOAL_COUNT_MISMATCH,"Expected 2 goals, observed 1",2026-08-19T17:10:00.587889Z
2016-17,111,855282,14150,3,3,OK,,2026-08-19T17:10:01.511951Z
2016-17,112,855283,14151,2,2,OK,,2026-08-19T17:10:02.356563Z
2016-17,113,855284,14152,2,2,OK,,2026-08-19T17:10:03.184981Z
2016-17,114,855285,14153,1,1,OK,,2026-08-19T17:10:04.117062Z
2016-17,115,,,0,0,NO_GOALS_EXPECTED,,2026-08-19T17:10:04.324300Z
2016-17,116,855287,14155,1,1,OK,,2026-08-19T17:10:04.947837Z
2016-17,117,855288,14156,3,3,OK,,2026-08-19T17:10:05.686580Z
2016-17,118,855289,14157,5,5,OK,,2026-08-19T17:10:06.587783Z
2016-17,119,855290,14158,3,3,OK,,2026-08-19T17:10:07.412134Z
2016-17,120,855291,14159,4,4,OK,,2026-08-19T17:10:08.236544Z
2016-17,121,855292,14160,4,4,OK,,2026-08-19T17:10:09.481583Z
2016-17,122,855293,14161,3,3,OK,,2026-08-19T17:10:10.292393Z
2016-17,123,855294,14162,3,3,OK,,2026-08-19T17:10:11.160631Z
2016-17,124,855295,14163,2,2,OK,,2026-08-19T17:10:11.928707Z
2016-17,125,855296,14164,4,4,OK,,2026-08-19T17:10:12.775575Z
2016-17,126,855297,14165,2,2,OK,,2026-08-19T17:10:13.550569Z
2016-17,127,855298,14166,2,2,OK,,2026-08-19T17:10:14.364865Z
2016-17,128,855299,14167,1,1,OK,,2026-08-19T17:10:15.209962Z
