season,player_code,source_player_id,shots,shots_on_target,shots_off_target,blocked_shots,xgot,touches,hit_woodwork,passes,accurate_passes,accurate_opposition_half_passes,long_balls,accurate_long_balls,successful_crosses,key_passes_rich,big_chances_created_rich,successful_dribbles,unsuccessful_dribbles,ball_carries,progressive_carries,progressive_carry_distance,total_progression,possession_lost,tackles_rich,tackles_won,interceptions_won,clearances,aerial_duels_won,aerial_duels_lost,duels_won,duels_lost,contests_won,blocks,recoveries_rich,errors_leading_to_shot,errors_leading_to_goal,fouls_conceded,fouls_won,penalties_won,penalties_conceded,saves_rich,saves_inside_box,high_claims,keeper_sweeper_actions,accurate_keeper_sweeper_actions,penalties_faced
2016-17,100059,229740,3.0,,2.0,1.0,,276.0,1.0,182.0,152.0,96.0,21.0,5.0,3.0,5.0,,,,,,,,53.0,6.0,6.0,2.0,17.0,2.0,4.0,17.0,12.0,3.0,,15.0,,,2.0,6.0,,1.0,,,,,,
2016-17,101178,161717,42.0,17.0,16.0,9.0,,1379.0,,965.0,804.0,551.0,46.0,24.0,38.0,44.0,,,,,,,,328.0,29.0,19.0,19.0,32.0,21.0,52.0,74.0,137.0,6.0,2.0,137.0,1.0,,27.0,18.0,,,,,,,,
2016-17,101179,287829,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,101184,227942,8.0,3.0,4.0,1.0,,1616.0,,1116.0,874.0,281.0,207.0,87.0,4.0,6.0,1.0,,,,,,,297.0,49.0,37.0,52.0,175.0,71.0,50.0,140.0,105.0,10.0,26.0,130.0,2.0,,23.0,12.0,,1.0,,,,,,
2016-17,101668,173827,53.0,26.0,16.0,11.0,,872.0,2.0,530.0,331.0,246.0,17.0,9.0,7.0,31.0,6.0,,,,,,,354.0,15.0,14.0,8.0,9.0,90.0,121.0,148.0,207.0,16.0,,56.0,,,26.0,27.0,1.0,,,,,,,
2016-17,102738,96702,9.0,,8.0,1.0,,517.0,1.0,384.0,333.0,197.0,19.0,9.0,2.0,5.0,,,,,,,,99.0,11.0,7.0,4.0,9.0,6.0,8.0,50.0,44.0,21.0,,46.0,,,3.0,12.0,,,,,,,,
2016-17,103025,158213,76.0,29.0,18.0,29.0,,1869.0,2.0,1065.0,826.0,582.0,91.0,50.0,24.0,51.0,10.0,,,,,,,606.0,36.0,23.0,28.0,15.0,21.0,59.0,198.0,285.0,78.0,2.0,192.0,,,25.0,64.0,1.0,,,,,,,
2016-17,10318,1941,0.0,,,,,639.0,,472.0,252.0,119.0,367.0,148.0,,,,,,,,,,226.0,,,,18.0,4.0,,8.0,1.0,1.0,,164.0,1.0,3.0,,3.0,,,42.0,27.0,17.0,9.0,8.0,3.0
2016-17,103192,139227,1.0,,1.0,,,179.0,,128.0,103.0,29.0,20.0,8.0,,1.0,1.0,,,,,,,34.0,8.0,5.0,5.0,11.0,5.0,2.0,20.0,5.0,5.0,1.0,15.0,,1.0,2.0,2.0,,,,,,,,
2016-17,103912,185955,15.0,1.0,4.0,10.0,,665.0,,378.0,312.0,209.0,7.0,4.0,6.0,18.0,,,,,,,,224.0,12.0,10.0,9.0,3.0,,7.0,65.0,89.0,40.0,2.0,68.0,,,7.0,13.0,,,,,,,,
2016-17,103955,138534,64.0,22.0,20.0,22.0,,1650.0,3.0,1034.0,831.0,662.0,28.0,9.0,7.0,46.0,6.0,,,,,,,508.0,24.0,17.0,16.0,3.0,12.0,27.0,169.0,239.0,79.0,1.0,138.0,1.0,,36.0,54.0,3.0,1.0,,,,,,
2016-17,104542,174135,0.0,,,,,343.0,,268.0,174.0,28.0,139.0,47.0,,,,,,,,,,94.0,,,1.0,7.0,1.0,,3.0,,,,68.0,,2.0,,1.0,,,20.0,12.0,5.0,4.0,3.0,1.0
2016-17,10460,14139,13.0,3.0,6.0,4.0,,451.0,,340.0,272.0,158.0,54.0,27.0,4.0,9.0,,,,,,,,94.0,14.0,9.0,10.0,6.0,4.0,13.0,29.0,41.0,4.0,1.0,44.0,,,8.0,7.0,,,,,,,,
2016-17,105666,98448,0.0,,,,,195.0,,140.0,79.0,42.0,116.0,56.0,,,,,,,,,,63.0,,,,3.0,2.0,,3.0,,1.0,,50.0,2.0,,,1.0,,,17.0,13.0,8.0,2.0,2.0,
2016-17,105717,174975,4.0,,3.0,1.0,,802.0,,468.0,410.0,225.0,57.0,32.0,7.0,7.0,1.0,,,,,,,148.0,40.0,29.0,26.0,27.0,16.0,15.0,96.0,71.0,30.0,1.0,89.0,,,16.0,10.0,,1.0,,,,,,
2016-17,106449,180011,0.0,,,,,23.0,,20.0,12.0,3.0,2.0,,,,,,,,,,,8.0,,,,1.0,3.0,1.0,4.0,2.0,1.0,,1.0,,,1.0,,,,,,,,,
2016-17,106611,110846,23.0,8.0,7.0,8.0,,1624.0,1.0,1127.0,820.0,293.0,270.0,127.0,1.0,8.0,1.0,,,,,,,334.0,28.0,23.0,63.0,260.0,154.0,80.0,195.0,110.0,5.0,43.0,151.0,2.0,,14.0,11.0,,1.0,,,,,,
2016-17,106617,204336,7.0,3.0,1.0,3.0,,149.0,,82.0,58.0,40.0,5.0,1.0,,1.0,,,,,,,,47.0,9.0,5.0,4.0,3.0,4.0,8.0,26.0,30.0,2.0,,16.0,,,12.0,11.0,,,,,,,,
2016-17,106760,190839,6.0,1.0,1.0,4.0,,565.0,,383.0,328.0,212.0,22.0,9.0,7.0,10.0,1.0,,,,,,,99.0,12.0,6.0,12.0,27.0,11.0,6.0,38.0,28.0,9.0,1.0,43.0,1.0,,7.0,6.0,1.0,,,,,,,
2016-17,106824,138833,0.0,,,,,27.0,,14.0,10.0,7.0,,,,,,,,,,,,13.0,1.0,1.0,,1.0,,1.0,1.0,5.0,,,1.0,,,1.0,,,,,,,,,
2016-17,107265,227946,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,108823,198028,94.0,44.0,30.0,20.0,,2027.0,3.0,1330.0,1074.0,814.0,84.0,60.0,,52.0,5.0,,,,,,,551.0,52.0,35.0,11.0,17.0,14.0,26.0,190.0,273.0,49.0,1.0,165.0,,,50.0,76.0,4.0,,,,,,,
2016-17,108824,198030,2.0,1.0,,1.0,,134.0,,59.0,45.0,26.0,7.0,4.0,1.0,1.0,,,,,,,,33.0,7.0,6.0,7.0,6.0,3.0,4.0,16.0,16.0,3.0,1.0,18.0,,,6.0,3.0,,1.0,,,,,,
2016-17,109322,205508,37.0,13.0,12.0,12.0,,997.0,2.0,727.0,638.0,485.0,27.0,17.0,7.0,29.0,4.0,,,,,,,184.0,17.0,12.0,14.0,8.0,5.0,15.0,62.0,94.0,21.0,1.0,56.0,,,26.0,19.0,,,,,,,,
2016-17,109528,210082,3.0,1.0,1.0,1.0,,818.0,,423.0,329.0,215.0,31.0,9.0,5.0,4.0,,,,,,,,199.0,31.0,22.0,24.0,50.0,17.0,14.0,74.0,61.0,15.0,5.0,58.0,,,14.0,13.0,,,,,,,,
2016-17,109646,352668,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,11037,19659,2.0,,,2.0,,16.0,,10.0,5.0,4.0,,,,1.0,,,,,,,,6.0,,,1.0,,2.0,1.0,3.0,3.0,1.0,,1.0,,,1.0,,,,,,,,,
2016-17,110979,217704,57.0,24.0,14.0,19.0,,1563.0,2.0,1020.0,791.0,620.0,39.0,23.0,7.0,44.0,4.0,,,,,,,475.0,23.0,15.0,8.0,10.0,42.0,75.0,188.0,249.0,68.0,,151.0,,,32.0,55.0,1.0,1.0,,,,,,
2016-17,111234,138530,0.0,,,,,1294.0,,954.0,441.0,283.0,843.0,332.0,,4.0,2.0,,,,,,,527.0,,,3.0,35.0,11.0,1.0,17.0,1.0,,,354.0,,3.0,,6.0,,,135.0,73.0,42.0,22.0,21.0,2.0
