season,source_family,source_file_family,source_field,registry_status,presence,source_files
2016-17,team_match,events_stats,accurateBackZonePass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateChippedPass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateCornersIntobox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateCross,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateCrossNocorner,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateFlickOn,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateFreekickCross,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateFwdZonePass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateGoalKicks,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateKeeperSweeper,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateKeeperThrows,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateLaunches,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateLayoffs,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateLongBalls,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accuratePass,exposed,PRESENT,20
2016-17,team_match,events_stats,accuratePullBack,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateThroughBall,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,accurateThrows,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,aerialLost,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,aerialWon,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attAssistOpenplay,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attAssistSetplay,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attCorner,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attFastbreak,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attFreekickGoal,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attFreekickMiss,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attFreekickPost,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attFreekickTarget,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attFreekickTotal,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attIboxOwnGoal,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attLgCentre,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attLgLeft,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attLgRight,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attObxdLeft,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attObxdRight,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attOneOnOne,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attOpenplay,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attPenGoal,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attPenMiss,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attPenPost,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attPenTarget,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attPostHigh,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attPostLeft,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attPostRight,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attSetpiece,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attemptedTackleFoul,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attemptsConcededIbox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attemptsConcededObox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attemptsIbox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attemptsObox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,attendance,retained,PRESENT,20
2016-17,team_match,events_stats,backwardPass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,ballRecovery,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,bigChanceCreated,exposed,PRESENT,20
2016-17,team_match,events_stats,bigChanceMissed,exposed,PRESENT,20
2016-17,team_match,events_stats,bigChanceScored,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,blockedCross,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,blockedPass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,blockedScoringAtt,exposed,PRESENT,20
2016-17,team_match,events_stats,challengeLost,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,clearanceOffLine,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,contentiousDecision,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,cornerTaken,exposed,PRESENT,20
2016-17,team_match,events_stats,crosses18yard,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,crosses18yardplus,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,defenderGoals,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,dispossessed,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,divingSave,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,duelLost,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,duelWon,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,effectiveBlockedCross,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,effectiveClearance,exposed,PRESENT,20
2016-17,team_match,events_stats,effectiveHeadClearance,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,errorLeadToGoal,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,errorLeadToShot,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,finalThirdEntries,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,fkFoulLost,exposed,PRESENT,20
2016-17,team_match,events_stats,fkFoulWon,exposed,PRESENT,20
2016-17,team_match,events_stats,forwardGoals,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,foulThrowIn,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,fouledFinalThird,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,freekickCross,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,freekickTotal,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,fwdPass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,gameweek,exposed,PRESENT,20
2016-17,team_match,events_stats,goalAssist,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalAssistDeadball,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalAssistIntentional,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalAssistOpenplay,UNCATALOGUED,PRESENT,20
