path,type,target_field_hits,likely_key_hits
data\live_pl_api_cache\player_directory.json,json,firstName;isoCode;lastName;playerId;position;preferredFoot,id;name;playerId
data\live_pl_api_cache\player_basic.json,json,age;firstName;isoCode;lastName;position,id;name
data\live_pl_api_cache\player_career.json,json,age;isoCode;playerId;position;preferredFoot,id;name;playerId
data\live_pl_api_cache\player_leaderboard.json,json,firstName;isoCode;lastName;position,id;name
data\live_pl_api_cache\player_season_info.json,json,isoCode;playerId;position;preferredFoot,id;name;playerId
data\live_pl_api_cache\player_season_stats.json,json,firstName;isoCode;lastName;position,id;name
raw_upstream\pulselive\match-855174\snapshot.json,json,firstName;lastName;playerId;position,id;name;playerId;players;teamId
raw_upstream\pulselive\match-855176\snapshot.json,json,firstName;lastName;playerId;position,id;name;playerId;players;teamId
raw_upstream\pulselive\match-855177\snapshot.json,json,firstName;lastName;playerId;position,id;name;playerId;players;teamId
raw_upstream\pulselive\match-855178\snapshot.json,json,firstName;lastName;playerId;position,id;name;playerId;players;teamId
raw_upstream\pulselive\match-855179\snapshot.json,json,firstName;lastName;playerId;position,id;name;playerId;players;teamId
data\live_pl_api_cache\match_lineups.json,json,firstName;lastName;position,id;players;teamId
data\live_pl_api_cache\season_awards.json,json,isoCode;position;preferredFoot,id;name
data\live_pl_api_cache\team_squad.json,json,isoCode;position;preferredFoot,id;name;players
data\live_pl_api_cache\match_officials.json,json,firstName;lastName,name
data\live_pl_api_cache\standings.json,json,age;position,id;name;season
_merged\players\2020-21_all_players_gw.csv,csv,position,name
_merged\players\2021-22_all_players_gw.csv,csv,position,name
_merged\players\2022-23_all_players_gw.csv,csv,position,name
_merged\players\2023-24_all_players_gw.csv,csv,position,name
_merged\players\2024-25_all_players_gw.csv,csv,position,name
_merged\players\2025-26_all_players_gw.csv,csv,position,
data\live_pl_api_cache\clubs_metadata.json,json,age,id;name
data\live_pl_api_cache\current_gameweek_config.json,json,age,
data\live_pl_api_cache\match_events.json,json,playerId,id;name;playerId
data\live_pl_api_cache\match_stats.json,json,playerId,playerId;teamId
data\live_pl_api_cache\season_structure.json,json,age,name
players\Aaron_Hickey_472713\2025-26_gw_stats.csv,csv,position,
players\Aaron_Ramsdale_225321\2025-26_gw_stats.csv,csv,position,
players\Aaron_Ramsey_447715\2025-26_gw_stats.csv,csv,position,
players\Aaron_Wan-Bissaka_214590\2025-26_gw_stats.csv,csv,position,
players\Aarón_Anselmino_622758\2025-26_gw_stats.csv,csv,position,
players\Abdallah_Sima_516211\2025-26_gw_stats.csv,csv,position,
players\Abdoullah_Ba_477851\2025-26_gw_stats.csv,csv,position,
players\Abdukodir_Khusanov_578153\2025-26_gw_stats.csv,csv,position,
players\Adam_Armstrong_155511\2025-26_gw_stats.csv,csv,position,
players\Adam_Aznou_499300\2025-26_gw_stats.csv,csv,position,
players\Adam_Smith_54469\2025-26_gw_stats.csv,csv,position,
players\Adam_Webster_110735\2025-26_gw_stats.csv,csv,position,
players\Adam_Wharton_496221\2025-26_gw_stats.csv,csv,position,
players\Adama_Traoré_Diarra_159533\2025-26_gw_stats.csv,csv,position,
players\Adrian_Mazilu_550141\2025-26_gw_stats.csv,csv,position,
players\Adrien_Truffert_494521\2025-26_gw_stats.csv,csv,position,
players\Ahmed_Abdullahi_611975\2025-26_gw_stats.csv,csv,position,
players\Airidas_Golambeckis_643473\2025-26_gw_stats.csv,csv,position,
players\Aji_Alese_220684\2025-26_gw_stats.csv,csv,position,
players\Alan_Browne_171422\2025-26_gw_stats.csv,csv,position,
players\Albert_Sambi_Lokonga_437742\2025-26_gw_stats.csv,csv,position,
players\Alejandro_Garnacho_Ferreyra_493105\2025-26_gw_stats.csv,csv,position,
players\Alex_Cairns_97846\2025-26_gw_stats.csv,csv,position,
players\Alex_Iwobi_153133\2025-26_gw_stats.csv,csv,position,
players\Alex_Murphy_545477\2025-26_gw_stats.csv,csv,position,
players\Alex_Paulsen_495145\2025-26_gw_stats.csv,csv,position,
players\Alex_Scott_503139\2025-26_gw_stats.csv,csv,position,
players\Alex_Tóth_614574\2025-26_gw_stats.csv,csv,position,
players\Alexander_Isak_219168\2025-26_gw_stats.csv,csv,position,
players\Alexis_Mac_Allister_243016\2025-26_gw_stats.csv,csv,position,
players\Alfie_Brooks_491460\2025-26_gw_stats.csv,csv,position,
players\Alfie_Cresswell_592740\2025-26_gw_stats.csv,csv,position,
players\Alfie_McNally_505079\2025-26_gw_stats.csv,csv,position,
players\Alfie_Pond_517179\2025-26_gw_stats.csv,csv,position,
players\Alisson_Becker_116535\2025-26_gw_stats.csv,csv,position,
players\Alphonse_Areola_84182\2025-26_gw_stats.csv,csv,position,
players\Altay_Bayındır_451302\2025-26_gw_stats.csv,csv,position,
players\Alysson_Edward_Franco_da_Rocha_dos_Santos_653481\2025-26_gw_stats.csv,csv,position,
players\Amad_Diallo_493250\2025-26_gw_stats.csv,csv,position,
players\Amadou_Onana_449871\2025-26_gw_stats.csv,csv,position,
players\Amara_Nallo_611926\2025-26_gw_stats.csv,csv,position,
players\Amine_Adli_489888\2025-26_gw_stats.csv,csv,position,
players\Andre_Harriman-Annous_646243\2025-26_gw_stats.csv,csv,position,
players\Andreas_Hoelgebaum_Pereira_156689\2025-26_gw_stats.csv,csv,position,
players\Andrew_Moran_513834\2025-26_gw_stats.csv,csv,position,
players\Andrew_Robertson_122798\2025-26_gw_stats.csv,csv,position,
players\Andrey_Nascimento_dos_Santos_532605\2025-26_gw_stats.csv,csv,position,
players\André_Onana_202641\2025-26_gw_stats.csv,csv,position,
players\André_Trindade_da_Costa_Neto_509291\2025-26_gw_stats.csv,csv,position,
players\Andrés_García_606798\2025-26_gw_stats.csv,csv,position,
players\Andy_Irving_229384\2025-26_gw_stats.csv,csv,position,
players\Angel_Gomes_209041\2025-26_gw_stats.csv,csv,position,
players\Angus_Gunn_107265\2025-26_gw_stats.csv,csv,position,
players\Anthony_Elanga_449434\2025-26_gw_stats.csv,csv,position,
players\Anthony_Gordon_232826\2025-26_gw_stats.csv,csv,position,
players\Anthony_Patterson_232571\2025-26_gw_stats.csv,csv,position,
players\Antoine_Semenyo_437730\2025-26_gw_stats.csv,csv,position,
players\Anton_Stach_466525\2025-26_gw_stats.csv,csv,position,
players\Antonee_Robinson_169528\2025-26_gw_stats.csv,csv,position,
players\Antoni_Milambo_543295\2025-26_gw_stats.csv,csv,position,
players\Antony_dos_Santos_467169\2025-26_gw_stats.csv,csv,position,
players\Antonín_Kinský_485055\2025-26_gw_stats.csv,csv,position,
players\Antoñito_Cordero_Campillo_640108\2025-26_gw_stats.csv,csv,position,
players\Archie_Gray_547701\2025-26_gw_stats.csv,csv,position,
players\Archie_Whitehall_568159\2025-26_gw_stats.csv,csv,position,
players\Armando_Broja_440323\2025-26_gw_stats.csv,csv,position,
players\Arnaud_Kalimuendo_465680\2025-26_gw_stats.csv,csv,position,
players\Arthur_Masuaku_105717\2025-26_gw_stats.csv,csv,position,
players\Asher_Agbinone_579075\2025-26_gw_stats.csv,csv,position,
players\Ashley_Barnes_44699\2025-26_gw_stats.csv,csv,position,
players\Ashley_Phillips_548308\2025-26_gw_stats.csv,csv,position,
players\Axel_Disasi_220362\2025-26_gw_stats.csv,csv,position,
players\Axel_Tuanzebe_180804\2025-26_gw_stats.csv,csv,position,
players\Ayden_Heaven_606745\2025-26_gw_stats.csv,csv,position,
players\Bafodé_Diakité_242882\2025-26_gw_stats.csv,csv,position,
players\Bart_Verbruggen_489639\2025-26_gw_stats.csv,csv,position,
players\Bashir_Humphreys_461188\2025-26_gw_stats.csv,csv,position,
players\Bastien_Meupiyou_Menadjou_560248\2025-26_gw_stats.csv,csv,position,
players\Ben_Broggio_577731\2025-26_gw_stats.csv,csv,position,
players\Ben_Casey_631106\2025-26_gw_stats.csv,csv,position,
players\Ben_Davies_115556\2025-26_gw_stats.csv,csv,position,
players\Ben_Gannon-Doak_496208\2025-26_gw_stats.csv,csv,position,
players\Ben_Winterburn_606775\2025-26_gw_stats.csv,csv,position,
players\Bendito_Mantato_576620\2025-26_gw_stats.csv,csv,position,
players\Benjamin_Arthur_622536\2025-26_gw_stats.csv,csv,position,
players\Benjamin_Fredrick_612534\2025-26_gw_stats.csv,csv,position,
players\Benjamin_Lecomte_86873\2025-26_gw_stats.csv,csv,position,
players\Benjamin_Sesko_485711\2025-26_gw_stats.csv,csv,position,
players\Benjamin_White_198869\2025-26_gw_stats.csv,csv,position,
players\Benoît_Badiashile_Mukinayi_242880\2025-26_gw_stats.csv,csv,position,
players\Bernardo_Mota_Veiga_de_Carvalho_e_Silva_165809\2025-26_gw_stats.csv,csv,position,
players\Bernd_Leno_80201\2025-26_gw_stats.csv,csv,position,
players\Bertrand_Traoré_110504\2025-26_gw_stats.csv,csv,position,
players\Blondy_Nna_Noukeu_490000\2025-26_gw_stats.csv,csv,position,
players\Borna_Sosa_218364\2025-26_gw_stats.csv,csv,position,
players\Boubacar_Kamara_226944\2025-26_gw_stats.csv,csv,position,
players\Boubacar_Traoré_476502\2025-26_gw_stats.csv,csv,position,
players\Bradley_Burrowes_645618\2025-26_gw_stats.csv,csv,position,
players\Braiden_Graham_629068\2025-26_gw_stats.csv,csv,position,
players\Brajan_Gruda_513433\2025-26_gw_stats.csv,csv,position,
players\Brandon_Austin_214572\2025-26_gw_stats.csv,csv,position,
players\Brayden_Clarke_563324\2025-26_gw_stats.csv,csv,position,
players\Brenden_Aaronson_427637\2025-26_gw_stats.csv,csv,position,
players\Brennan_Johnson_242898\2025-26_gw_stats.csv,csv,position,
players\Brian_Brobbey_441264\2025-26_gw_stats.csv,csv,position,
players\Bruno_Borges_Fernandes_141746\2025-26_gw_stats.csv,csv,position,
players\Bruno_Guimarães_Rodriguez_Moura_208706\2025-26_gw_stats.csv,csv,position,
players\Bryan_Gil_Salvatierra_436234\2025-26_gw_stats.csv,csv,position,
players\Bryan_Mbeumo_446008\2025-26_gw_stats.csv,csv,position,
players\Bukayo_Saka_223340\2025-26_gw_stats.csv,csv,position,
players\Caleb_Kporha_590012\2025-26_gw_stats.csv,csv,position,
players\Callan_McKenna_568791\2025-26_gw_stats.csv,csv,position,
players\Callum_Bates_547801\2025-26_gw_stats.csv,csv,position,
players\Callum_Hudson-Odoi_209046\2025-26_gw_stats.csv,csv,position,
players\Callum_Marshall_565431\2025-26_gw_stats.csv,csv,position,
players\Callum_Olusesi_499726\2025-26_gw_stats.csv,csv,position,
players\Callum_Wilson_75115\2025-26_gw_stats.csv,csv,position,
players\Calvin_Bassey_232892\2025-26_gw_stats.csv,csv,position,
