season,player_code,source_player_id,shots,shots_on_target,shots_off_target,blocked_shots,xgot,touches,hit_woodwork,passes,accurate_passes,accurate_opposition_half_passes,long_balls,accurate_long_balls,crosses_rich,successful_crosses,key_passes_rich,big_chances_created_rich,dribbles_rich,successful_dribbles,unsuccessful_dribbles,ball_carries,progressive_carries,progressive_carry_distance,total_progression,possession_lost,tackles_rich,tackles_won,interceptions_won,clearances,aerial_duels_won,aerial_duels_lost,duels_won,duels_lost,contests_won,blocks,recoveries_rich,errors_leading_to_shot,errors_leading_to_goal,fouls_conceded,fouls_won,penalties_won,penalties_conceded,saves_rich,saves_inside_box,high_claims,keeper_sweeper_actions,accurate_keeper_sweeper_actions,penalties_faced
2026-27,101282,101282,0.0,0.0,0.0,0.0,0.0,35.0,0.0,21.0,15.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,8.0,4.0,3.0,0.0,2.0,3.0,0.0,8.0,5.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,106760,106760,1.0,0.0,1.0,0.0,0.0,216.0,0.0,150.0,129.0,78.0,5.0,3.0,10.0,6.0,4.0,1.0,2.0,0.0,2.0,,,,,35.0,6.0,4.0,4.0,7.0,5.0,1.0,11.0,7.0,0.0,3.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,108413,108413,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,108416,108416,0.0,0.0,0.0,0.0,0.0,126.0,0.0,78.0,58.0,11.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21.0,5.0,2.0,4.0,28.0,7.0,3.0,12.0,5.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,111234,111234,0.0,0.0,0.0,0.0,0.0,140.0,0.0,108.0,65.0,10.0,59.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,43.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,6.0,1.0,2.0,2.0,0.0
2026-27,111317,111317,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,114243,114243,1.0,0.0,1.0,1.0,0.0,19.0,0.0,7.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,114283,114283,1.0,0.0,0.0,1.0,0.0,25.0,0.0,18.0,16.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,,,,,4.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,116535,116535,0.0,0.0,0.0,0.0,0.0,117.0,0.0,83.0,70.0,9.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,1.0,3.0,3.0,1.0
2026-27,119471,119471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,122798,122798,1.0,1.0,1.0,0.0,0.0874,160.0,0.0,118.0,93.0,49.0,9.0,2.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,34.0,3.0,2.0,2.0,7.0,2.0,2.0,7.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,122806,122806,4.0,0.0,4.0,0.0,0.0,134.0,0.0,78.0,56.0,44.0,12.0,3.0,7.0,0.0,1.0,0.0,6.0,2.0,4.0,,,,,50.0,4.0,2.0,3.0,1.0,2.0,2.0,15.0,20.0,2.0,0.0,7.0,2.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,135720,135720,0.0,0.0,0.0,0.0,0.0,60.0,0.0,43.0,35.0,12.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,12.0,1.0,1.0,0.0,7.0,2.0,2.0,4.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,141746,141746,15.0,4.0,3.0,8.0,2.4114999999999998,265.0,1.0,205.0,173.0,136.0,26.0,14.0,12.0,7.0,7.0,1.0,6.0,2.0,4.0,,,,,58.0,2.0,2.0,1.0,2.0,0.0,1.0,5.0,10.0,2.0,1.0,12.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,146426,146426,1.0,1.0,0.0,0.0,0.9723,98.0,0.0,65.0,56.0,23.0,10.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,12.0,3.0,2.0,3.0,14.0,4.0,3.0,10.0,6.0,2.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,147675,147675,1.0,1.0,0.0,0.0,0.9953,20.0,0.0,10.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,7.0,1.0,0.0,0.0,0.0,2.0,6.0,5.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,149484,149484,3.0,0.0,1.0,2.0,0.0,91.0,0.0,80.0,73.0,43.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,7.0,2.0,2.0,0.0,5.0,3.0,2.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,153133,153133,2.0,0.0,0.0,2.0,0.0,259.0,0.0,222.0,203.0,122.0,23.0,19.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,,,,,34.0,3.0,2.0,3.0,1.0,0.0,1.0,5.0,8.0,1.0,0.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-27,153682,153682,1.0,0.0,0.0,1.0,0.0,58.0,0.0,35.0,31.0,18.0,6.0,5.0,3.0,1.0,4.0,0.0,3.0,2.0,1.0,,,,,14.0,3.0,1.0,2.0,0.0,1.0,1.0,7.0,7.0,2.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
