field_name,field_type,sample_values,status
aerialDuels,str,854.0,LIVE_ONLY_CANDIDATE
aerialDuelsLost,str,363.0,LIVE_ONLY_CANDIDATE
aerialDuelsWon,str,491.0,LIVE_ONLY_CANDIDATE
attemptsFromSetPieces,str,13.0,LIVE_ONLY_CANDIDATE
blockedShots,str,174.0,LIVE_ONLY_CANDIDATE
blocks,str,105.0,LIVE_ONLY_CANDIDATE
cleanSheets,str,16.0,LIVE_ONLY_CANDIDATE
clearancesOffTheLine,str,3.0,LIVE_ONLY_CANDIDATE
cornersTakenInclShortCorners,str,247.0,LIVE_ONLY_CANDIDATE
cornersWon,str,247.0,LIVE_ONLY_CANDIDATE
crossingAccuracy,str,26.82,LIVE_ONLY_CANDIDATE
duels,str,3556.0,LIVE_ONLY_CANDIDATE
duelsLost,str,1699.0,LIVE_ONLY_CANDIDATE
duelsWon,str,1857.0,LIVE_ONLY_CANDIDATE
expectedAssists,str,49.9934,LIVE_ONLY_CANDIDATE
expectedGoals,str,71.2605,LIVE_ONLY_CANDIDATE
expectedGoalsFreekick,str,0.7338,LIVE_ONLY_CANDIDATE
expectedGoalsOnTarget,str,68.1275,LIVE_ONLY_CANDIDATE
expectedGoalsOnTargetConceded,str,43.3074,LIVE_ONLY_CANDIDATE
gamesPlayed,str,38.0,LIVE_ONLY_CANDIDATE
goals,str,77.0,LIVE_ONLY_CANDIDATE
goalsConceded,str,35.0,LIVE_ONLY_CANDIDATE
goalsConcededInsideBox,str,28.0,LIVE_ONLY_CANDIDATE
goalsConcededOutsideBox,str,7.0,LIVE_ONLY_CANDIDATE
interceptions,str,302.0,LIVE_ONLY_CANDIDATE
offsides,str,44.0,LIVE_ONLY_CANDIDATE
openPlayPasses,str,21496.0,LIVE_ONLY_CANDIDATE
penaltiesConceded,str,2.0,LIVE_ONLY_CANDIDATE
penaltiesSaved,str,1.0,LIVE_ONLY_CANDIDATE
penaltyGoals,str,3.0,LIVE_ONLY_CANDIDATE
penaltyGoalsConceded,str,1.0,LIVE_ONLY_CANDIDATE
pointsDroppedFromWinningPositions,str,20.0,LIVE_ONLY_CANDIDATE
pointsGainedFromLosingPositions,str,5.0,LIVE_ONLY_CANDIDATE
possessionPercentage,str,60.4,LIVE_ONLY_CANDIDATE
shotsOffTargetIncWoodwork,str,215.0,LIVE_ONLY_CANDIDATE
shotsOnConcededInsideBox,str,97.0,LIVE_ONLY_CANDIDATE
shotsOnConcededOutsideBox,str,30.0,LIVE_ONLY_CANDIDATE
shotsOnTargetIncGoals,str,205.0,LIVE_ONLY_CANDIDATE
successfulCornersIntoBox,str,70.0,LIVE_ONLY_CANDIDATE
successfulCrossesAndCorners,str,166.0,LIVE_ONLY_CANDIDATE
successfulCrossesOpenPlay,str,91.0,LIVE_ONLY_CANDIDATE
successfulDribbles,str,409.0,LIVE_ONLY_CANDIDATE
successfulLaunches,str,106.0,LIVE_ONLY_CANDIDATE
successfulLayoffs,str,421.0,LIVE_ONLY_CANDIDATE
successfulLongPasses,str,737.0,LIVE_ONLY_CANDIDATE
successfulOpenPlayPasses,str,19028.0,LIVE_ONLY_CANDIDATE
successfulPassesOppositionHalf,str,11502.0,LIVE_ONLY_CANDIDATE
successfulPassesOwnHalf,str,8440.0,LIVE_ONLY_CANDIDATE
successfulShortPasses,str,19039.0,LIVE_ONLY_CANDIDATE
tackleSuccess,str,61.06,LIVE_ONLY_CANDIDATE
tacklesLost,str,213.0,LIVE_ONLY_CANDIDATE
tacklesWon,str,334.0,LIVE_ONLY_CANDIDATE
touchesInOppBox,str,1409.0,LIVE_ONLY_CANDIDATE
unsuccessfulCornersIntoBox,str,131.0,LIVE_ONLY_CANDIDATE
unsuccessfulCrossesAndCorners,str,453.0,LIVE_ONLY_CANDIDATE
unsuccessfulCrossesOpenPlay,str,302.0,LIVE_ONLY_CANDIDATE
unsuccessfulDribbles,str,415.0,LIVE_ONLY_CANDIDATE
unsuccessfulLaunches,str,358.0,LIVE_ONLY_CANDIDATE
unsuccessfulLayoffs,str,26.0,LIVE_ONLY_CANDIDATE
unsuccessfulLongPasses,str,727.0,LIVE_ONLY_CANDIDATE
unsuccessfulPassesOppositionHalf,str,2310.0,LIVE_ONLY_CANDIDATE
unsuccessfulPassesOwnHalf,str,709.0,LIVE_ONLY_CANDIDATE
unsuccessfulShortPasses,str,1839.0,LIVE_ONLY_CANDIDATE
