field_name,observed_types,observed_count,numeric_min,numeric_max,sample_values
aerialDuels,float,1,854.0,854.0,854.0
aerialDuelsLost,float,1,363.0,363.0,363.0
aerialDuelsWon,float,1,491.0,491.0,491.0
attemptsFromSetPieces,float,1,13.0,13.0,13.0
blockedShots,float,1,174.0,174.0,174.0
blocks,float,1,105.0,105.0,105.0
cleanSheets,float,1,16.0,16.0,16.0
clearancesOffTheLine,float,1,3.0,3.0,3.0
cornersTakenInclShortCorners,float,1,247.0,247.0,247.0
cornersWon,float,1,247.0,247.0,247.0
crossingAccuracy,float,1,26.82,26.82,26.82
duels,float,1,3556.0,3556.0,3556.0
duelsLost,float,1,1699.0,1699.0,1699.0
duelsWon,float,1,1857.0,1857.0,1857.0
expectedAssists,float,1,49.9934,49.9934,49.9934
expectedGoals,float,1,71.2605,71.2605,71.2605
expectedGoalsFreekick,float,1,0.7338,0.7338,0.7338
expectedGoalsOnTarget,float,1,68.1275,68.1275,68.1275
expectedGoalsOnTargetConceded,float,1,43.3074,43.3074,43.3074
gamesPlayed,float,1,38.0,38.0,38.0
goals,float,1,77.0,77.0,77.0
goalsConceded,float,1,35.0,35.0,35.0
goalsConcededInsideBox,float,1,28.0,28.0,28.0
goalsConcededOutsideBox,float,1,7.0,7.0,7.0
interceptions,float,1,302.0,302.0,302.0
offsides,float,1,44.0,44.0,44.0
openPlayPasses,float,1,21496.0,21496.0,21496.0
penaltiesConceded,float,1,2.0,2.0,2.0
penaltiesSaved,float,1,1.0,1.0,1.0
penaltyGoals,float,1,3.0,3.0,3.0
penaltyGoalsConceded,float,1,1.0,1.0,1.0
pointsDroppedFromWinningPositions,float,1,20.0,20.0,20.0
pointsGainedFromLosingPositions,float,1,5.0,5.0,5.0
possessionPercentage,float,1,60.4,60.4,60.4
shotsOffTargetIncWoodwork,float,1,215.0,215.0,215.0
shotsOnConcededInsideBox,float,1,97.0,97.0,97.0
shotsOnConcededOutsideBox,float,1,30.0,30.0,30.0
shotsOnTargetIncGoals,float,1,205.0,205.0,205.0
successfulCornersIntoBox,float,1,70.0,70.0,70.0
successfulCrossesAndCorners,float,1,166.0,166.0,166.0
successfulCrossesOpenPlay,float,1,91.0,91.0,91.0
successfulDribbles,float,1,409.0,409.0,409.0
successfulLaunches,float,1,106.0,106.0,106.0
successfulLayoffs,float,1,421.0,421.0,421.0
successfulLongPasses,float,1,737.0,737.0,737.0
successfulOpenPlayPasses,float,1,19028.0,19028.0,19028.0
successfulPassesOppositionHalf,float,1,11502.0,11502.0,11502.0
successfulPassesOwnHalf,float,1,8440.0,8440.0,8440.0
successfulShortPasses,float,1,19039.0,19039.0,19039.0
tackleSuccess,float,1,61.06,61.06,61.06
tacklesLost,float,1,213.0,213.0,213.0
tacklesWon,float,1,334.0,334.0,334.0
touchesInOppBox,float,1,1409.0,1409.0,1409.0
unsuccessfulCornersIntoBox,float,1,131.0,131.0,131.0
unsuccessfulCrossesAndCorners,float,1,453.0,453.0,453.0
unsuccessfulCrossesOpenPlay,float,1,302.0,302.0,302.0
unsuccessfulDribbles,float,1,415.0,415.0,415.0
unsuccessfulLaunches,float,1,358.0,358.0,358.0
unsuccessfulLayoffs,float,1,26.0,26.0,26.0
unsuccessfulLongPasses,float,1,727.0,727.0,727.0
unsuccessfulPassesOppositionHalf,float,1,2310.0,2310.0,2310.0
unsuccessfulPassesOwnHalf,float,1,709.0,709.0,709.0
unsuccessfulShortPasses,float,1,1839.0,1839.0,1839.0
