field_name,family,field_type,sample_values,status,reason,grain,source_surface
aerialDuels,Duels & Aerials,,854.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
aerialDuelsLost,Duels & Aerials,,363.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
aerialDuelsWon,Duels & Aerials,,491.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
attemptsFromSetPieces,Shooting,,13.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
blockedShots,Shooting,,174.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
blocks,Defending,,105.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
cleanSheets,Finishing & Goals,,16.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
clearancesOffTheLine,Defending,,3.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
cornersTakenInclShortCorners,Corners,,247.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
cornersWon,Corners,,247.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
crossingAccuracy,Crossing & Set Pieces,,26.82,NEW_SOURCE_CAPABILITY,No exact FRL field match and no safe derivation rule recognised.,team_season_candidate,pulselive_live_api
duels,Duels & Aerials,,3556.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
duelsLost,Duels & Aerials,,1699.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
duelsWon,Duels & Aerials,,1857.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
expectedAssists,Review,,49.9934,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
expectedGoals,Finishing & Goals,,71.2605,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
expectedGoalsFreekick,Finishing & Goals,,0.7338,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
expectedGoalsOnTarget,Finishing & Goals,,68.1275,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
expectedGoalsOnTargetConceded,Finishing & Goals,,43.3074,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
gamesPlayed,Review,,38.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
goals,Finishing & Goals,,77.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
