field_name,family,live_capability_status,frl_dictionary,frl_grains,frl_source_surfaces,semantic_status,reason
aerialDuels,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
aerialDuelsLost,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
aerialDuelsWon,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
attemptsFromSetPieces,Shooting,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
blockedShots,Shooting,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
blocks,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
cleanSheets,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
clearancesOffTheLine,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
cornersTakenInclShortCorners,Corners,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
cornersWon,Corners,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
crossingAccuracy,Crossing & Set Pieces,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,,GENUINELY_NEW,No exact FRL dictionary row for this native field name.
duels,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
duelsLost,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
duelsWon,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
expectedAssists,Review,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_match | player_season | team_match,FRL_LOCAL_CSV,TEAM_GRAIN_MATCH_REVIEW,FRL contains the field at a team-like grain; exact team-season semantic equivalence still requires validation.
expectedGoals,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_match | player_season | team_match,FRL_LOCAL_CSV,TEAM_GRAIN_MATCH_REVIEW,FRL contains the field at a team-like grain; exact team-season semantic equivalence still requires validation.
expectedGoalsFreekick,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season | team_match,FRL_LOCAL_CSV,TEAM_GRAIN_MATCH_REVIEW,FRL contains the field at a team-like grain; exact team-season semantic equivalence still requires validation.
expectedGoalsOnTarget,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_match | player_season | team_match,FRL_LOCAL_CSV,TEAM_GRAIN_MATCH_REVIEW,FRL contains the field at a team-like grain; exact team-season semantic equivalence still requires validation.
expectedGoalsOnTargetConceded,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season | team_match,FRL_LOCAL_CSV,TEAM_GRAIN_MATCH_REVIEW,FRL contains the field at a team-like grain; exact team-season semantic equivalence still requires validation.
gamesPlayed,Review,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
goals,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_match | player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
goalsConceded,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
