field_name,family,live_status,frl_dictionary_path,frl_grains,semantic_status,reason
aerialDuels,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
aerialDuelsLost,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
aerialDuelsWon,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
attemptsFromSetPieces,Shooting,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
blockedShots,Shooting,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
blocks,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
cleanSheets,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
clearancesOffTheLine,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
cornersTakenInclShortCorners,Corners,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
cornersWon,Corners,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
crossingAccuracy,Crossing & Set Pieces,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,GENUINELY_NEW_BY_NAME,No exact field-name row found in the FRL variable dictionary.
duels,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
duelsLost,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
duelsWon,Duels & Aerials,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
expectedAssists,Review,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_match | player_season | team_match,SUPERFICIAL_NAME_MATCH_REVIEW,Exact field exists in FRL with a team-like grain; team-season semantic equivalence still requires explicit verification.
expectedGoals,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_match | player_season | team_match,SUPERFICIAL_NAME_MATCH_REVIEW,Exact field exists in FRL with a team-like grain; team-season semantic equivalence still requires explicit verification.
expectedGoalsFreekick,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season | team_match,SUPERFICIAL_NAME_MATCH_REVIEW,Exact field exists in FRL with a team-like grain; team-season semantic equivalence still requires explicit verification.
expectedGoalsOnTarget,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_match | player_season | team_match,SUPERFICIAL_NAME_MATCH_REVIEW,Exact field exists in FRL with a team-like grain; team-season semantic equivalence still requires explicit verification.
expectedGoalsOnTargetConceded,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season | team_match,SUPERFICIAL_NAME_MATCH_REVIEW,Exact field exists in FRL with a team-like grain; team-season semantic equivalence still requires explicit verification.
gamesPlayed,Review,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
goals,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_match | player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
goalsConceded,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
goalsConcededInsideBox,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
goalsConcededOutsideBox,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
interceptions,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
offsides,Discipline & Offside,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
openPlayPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
penaltiesConceded,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
penaltiesSaved,Review,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
penaltyGoals,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
penaltyGoalsConceded,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
pointsDroppedFromWinningPositions,Finishing & Goals,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,GENUINELY_NEW_BY_NAME,No exact field-name row found in the FRL variable dictionary.
pointsGainedFromLosingPositions,Finishing & Goals,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,GENUINELY_NEW_BY_NAME,No exact field-name row found in the FRL variable dictionary.
possessionPercentage,Possession,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,team_match,SUPERFICIAL_NAME_MATCH_REVIEW,Exact field exists in FRL with a team-like grain; team-season semantic equivalence still requires explicit verification.
shotsOffTargetIncWoodwork,Shooting,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
shotsOnConcededInsideBox,Shooting,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,GENUINELY_NEW_BY_NAME,No exact field-name row found in the FRL variable dictionary.
shotsOnConcededOutsideBox,Shooting,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,GENUINELY_NEW_BY_NAME,No exact field-name row found in the FRL variable dictionary.
shotsOnTargetIncGoals,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulCornersIntoBox,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulCrossesAndCorners,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulCrossesOpenPlay,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulDribbles,Dribbling,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulLaunches,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulLayoffs,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulLongPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulOpenPlayPasses,Passing & Territory,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,GENUINELY_NEW_BY_NAME,No exact field-name row found in the FRL variable dictionary.
successfulPassesOppositionHalf,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulPassesOwnHalf,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
successfulShortPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
tackleSuccess,Defending,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,GENUINELY_NEW_BY_NAME,No exact field-name row found in the FRL variable dictionary.
tacklesLost,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
