variable,team_match_rows,nonblank_values,blank_values,fixture_identity,home_team_identity,away_team_identity,row_identity_route_status,inheritance_status
home_core_shots,3800,3799,1,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_shots_on_target,3800,3724,76,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_shots_off_target,3800,3743,57,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_blocked_shots,3800,3592,208,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_corners,3800,3745,55,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_passes,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_accurate_passes,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_crosses,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_tackles,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_tackles_won,3800,3799,1,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_interceptions,3800,3799,1,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_interceptions_won,3800,3799,1,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_clearances,3800,3799,1,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_effective_clearances,3800,3799,1,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_fouls_won,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_fouls_conceded,3800,3798,2,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_offsides,3800,3079,721,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_yellow_cards,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_core_red_cards,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_optional_saves,3800,3476,324,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_optional_big_chances_created,3800,2873,927,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_optional_big_chances_missed,3800,2588,1212,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_optional_expected_goals,3800,566,3234,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_optional_expected_assists,3800,566,3234,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_optional_expected_goals_on_target,3800,551,3249,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
home_optional_attendance,3800,0,3800,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_shots,3800,3799,1,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_shots_on_target,3800,3677,123,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_shots_off_target,3800,3699,101,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_blocked_shots,3800,3475,325,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_corners,3800,3693,107,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_passes,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_accurate_passes,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_crosses,3800,3799,1,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_tackles,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_tackles_won,3800,3799,1,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_interceptions,3800,3797,3,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_interceptions_won,3800,3797,3,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_clearances,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_effective_clearances,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_fouls_won,3800,3798,2,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_fouls_conceded,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_offsides,3800,2968,832,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_yellow_cards,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_core_red_cards,3800,3800,0,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_optional_saves,3800,3569,231,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_optional_big_chances_created,3800,2666,1134,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_optional_big_chances_missed,3800,2366,1434,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_optional_expected_goals,3800,566,3234,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_optional_expected_assists,3800,566,3234,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_optional_expected_goals_on_target,3800,548,3252,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
away_optional_attendance,3800,0,3800,fixture_id+season OR source_match_id,season+home_team_id -> team_season_id,season+away_team_id -> team_season_id,VERIFIED,INHERITS_TEAM_MATCH_ROUTE
