source_surface,resource,original_grain,field_name,field_type,decomposed_grain,decomposition_basis,notes,review_status,resolution,evidence_required,resolved_grain,resolution_status,resolution_basis,upstream_matches,evidence_paths
fpl,bootstrap-static.json,sample_payload,chips,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips
fpl,bootstrap-static.json,sample_payload,chips[].chip_type,str,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].chip_type
fpl,bootstrap-static.json,sample_payload,chips[].id,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].id
fpl,bootstrap-static.json,sample_payload,chips[].name,str,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].name
fpl,bootstrap-static.json,sample_payload,chips[].number,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].number
fpl,bootstrap-static.json,sample_payload,chips[].overrides,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].overrides
fpl,bootstrap-static.json,sample_payload,chips[].overrides.pick_multiplier,NoneType,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].overrides.pick_multiplier
fpl,bootstrap-static.json,sample_payload,chips[].overrides.rules,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].overrides.rules
fpl,bootstrap-static.json,sample_payload,chips[].overrides.scoring,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].overrides.scoring
fpl,bootstrap-static.json,sample_payload,chips[].start_event,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].start_event
fpl,bootstrap-static.json,sample_payload,chips[].stop_event,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:chips[].stop_event
fpl,bootstrap-static.json,sample_payload,events,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events
fpl,bootstrap-static.json,sample_payload,events[].average_entry_score,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].average_entry_score
fpl,bootstrap-static.json,sample_payload,events[].can_enter,bool,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].can_enter
fpl,bootstrap-static.json,sample_payload,events[].can_manage,bool,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].can_manage
fpl,bootstrap-static.json,sample_payload,events[].chip_plays,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].chip_plays
fpl,bootstrap-static.json,sample_payload,events[].chip_plays[].chip_name,str,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].chip_plays[].chip_name
fpl,bootstrap-static.json,sample_payload,events[].chip_plays[].num_played,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].chip_plays[].num_played
fpl,bootstrap-static.json,sample_payload,events[].cup_leagues_created,bool,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].cup_leagues_created
fpl,bootstrap-static.json,sample_payload,events[].data_checked,bool,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].data_checked
fpl,bootstrap-static.json,sample_payload,events[].deadline_time,str,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].deadline_time
fpl,bootstrap-static.json,sample_payload,events[].deadline_time_epoch,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].deadline_time_epoch
fpl,bootstrap-static.json,sample_payload,events[].deadline_time_game_offset,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].deadline_time_game_offset
fpl,bootstrap-static.json,sample_payload,events[].finished,bool,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].finished
fpl,bootstrap-static.json,sample_payload,events[].h2h_ko_matches_created,bool,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].h2h_ko_matches_created
fpl,bootstrap-static.json,sample_payload,events[].highest_score,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].highest_score
fpl,bootstrap-static.json,sample_payload,events[].highest_scoring_entry,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].highest_scoring_entry
fpl,bootstrap-static.json,sample_payload,events[].id,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].id
fpl,bootstrap-static.json,sample_payload,events[].is_current,bool,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].is_current
fpl,bootstrap-static.json,sample_payload,events[].is_next,bool,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].is_next
fpl,bootstrap-static.json,sample_payload,events[].is_previous,bool,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].is_previous
fpl,bootstrap-static.json,sample_payload,events[].most_captained,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].most_captained
fpl,bootstrap-static.json,sample_payload,events[].most_selected,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].most_selected
fpl,bootstrap-static.json,sample_payload,events[].most_transferred_in,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].most_transferred_in
fpl,bootstrap-static.json,sample_payload,events[].most_vice_captained,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].most_vice_captained
fpl,bootstrap-static.json,sample_payload,events[].name,str,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].name
fpl,bootstrap-static.json,sample_payload,events[].overrides,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].overrides
fpl,bootstrap-static.json,sample_payload,events[].overrides.pick_multiplier,NoneType,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].overrides.pick_multiplier
fpl,bootstrap-static.json,sample_payload,events[].overrides.rules,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].overrides.rules
fpl,bootstrap-static.json,sample_payload,events[].overrides.scoring,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].overrides.scoring
fpl,bootstrap-static.json,sample_payload,events[].ranked_count,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].ranked_count
fpl,bootstrap-static.json,sample_payload,events[].release_time,NoneType,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact JSON field path observed in captured raw FPL payload,gameweek,bootstrap-static:events[].release_time
