source_surface,resource,original_grain,field_name,field_type,decomposed_grain,decomposition_basis,notes,review_status,resolution,evidence_required,resolved_grain,resolution_status,resolution_basis,upstream_matches
fpl,bootstrap-static.json,sample_payload,chips,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,UNMAPPED_REVIEW,NOT_FOUND_IN_RAW_BOOTSTRAP,field path/terminal field not observed in captured raw bootstrap object families,
fpl,bootstrap-static.json,sample_payload,chips[].chip_type,str,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,UNMAPPED_REVIEW,NOT_FOUND_IN_RAW_BOOTSTRAP,field path/terminal field not observed in captured raw bootstrap object families,
fpl,bootstrap-static.json,sample_payload,chips[].id,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,UNMAPPED_REVIEW,AMBIGUOUS_RAW_BOOTSTRAP_GRAIN,terminal field occurs in multiple captured bootstrap object families,gameweek;phase;player;position_type;team
fpl,bootstrap-static.json,sample_payload,chips[].name,str,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,UNMAPPED_REVIEW,AMBIGUOUS_RAW_BOOTSTRAP_GRAIN,terminal field occurs in multiple captured bootstrap object families,bootstrap_metadata;gameweek;phase;team
fpl,bootstrap-static.json,sample_payload,chips[].number,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,UNMAPPED_REVIEW,NOT_FOUND_IN_RAW_BOOTSTRAP,field path/terminal field not observed in captured raw bootstrap object families,
fpl,bootstrap-static.json,sample_payload,chips[].overrides,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,gameweek,STRUCTURALLY_RESOLVED,exact terminal field observed in captured raw FPL bootstrap object family,gameweek
fpl,bootstrap-static.json,sample_payload,chips[].overrides.pick_multiplier,NoneType,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,UNMAPPED_REVIEW,NOT_FOUND_IN_RAW_BOOTSTRAP,field path/terminal field not observed in captured raw bootstrap object families,
fpl,bootstrap-static.json,sample_payload,chips[].overrides.rules,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,UNMAPPED_REVIEW,NOT_FOUND_IN_RAW_BOOTSTRAP,field path/terminal field not observed in captured raw bootstrap object families,
fpl,bootstrap-static.json,sample_payload,chips[].overrides.scoring,object,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,UNMAPPED_REVIEW,NOT_FOUND_IN_RAW_BOOTSTRAP,field path/terminal field not observed in captured raw bootstrap object families,
fpl,bootstrap-static.json,sample_payload,chips[].start_event,int,UNMAPPED_REVIEW,insufficient structural evidence,fpl\bootstrap-static.json,OPEN,,raw path/context or source-schema evidence,phase,STRUCTURALLY_RESOLVED,exact terminal field observed in captured raw FPL bootstrap object family,phase
