field_name,source_surface,resource,grain,source_identity_required,context_class,basis
playerId,FRL_LOCAL_CSV,player_match,player_match,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
position,FRL_LOCAL_CSV,player_match,player_match,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
nationality,FRL_LOCAL_CSV,player_season,player_season,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
playerId,FRL_LOCAL_CSV,player_season,player_season,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
position,FRL_LOCAL_CSV,player_season,player_season,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
age,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
birthCountry,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
birthDate,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
displayName,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
firstName,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
height_cm,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
isoCode,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
joinDate,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
lastName,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
nationality,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
onLoan,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
playerId,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
position,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
preferredFoot,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
shirtNumber,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
weight_kg,FRL_LOCAL_CSV,squad,squad,FALSE,FRL_LOCAL_CSV_REVIEW,Local FRL evidence; inspect existing relationship/identity contract before any promotion.
chips[].overrides.element_types,fpl,bootstrap-static.json,player,FALSE,FPL_BOOTSTRAP_CONTEXT,Bootstrap-static structural/configuration context; entity identity should not be inferred from grain alone.
