field_name,source_surface,grain,resource,source_identity_required,relationship_note
playerId,FRL_LOCAL_CSV,player_match,player_match,FALSE,No deterministic relationship contract mapping; manual review required.
position,FRL_LOCAL_CSV,player_match,player_match,FALSE,No deterministic relationship contract mapping; manual review required.
nationality,FRL_LOCAL_CSV,player_season,player_season,FALSE,No deterministic relationship contract mapping; manual review required.
playerId,FRL_LOCAL_CSV,player_season,player_season,FALSE,No deterministic relationship contract mapping; manual review required.
position,FRL_LOCAL_CSV,player_season,player_season,FALSE,No deterministic relationship contract mapping; manual review required.
age,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
birthCountry,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
birthDate,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
displayName,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
firstName,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
height_cm,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
isoCode,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
joinDate,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
lastName,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
nationality,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
onLoan,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
playerId,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
position,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
preferredFoot,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
shirtNumber,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
weight_kg,FRL_LOCAL_CSV,squad,squad,FALSE,No deterministic relationship contract mapping; manual review required.
chips[].overrides.element_types,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_stats,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_stats[].label,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_stats[].name,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].element_count,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].id,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].plural_name,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].plural_name_short,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].singular_name,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].singular_name_short,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].squad_max_play,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].squad_max_select,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].squad_min_play,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].squad_min_select,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].squad_select,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].sub_positions_locked,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
element_types[].ui_shirt_specific,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].assists,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].birth_date,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].bonus,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].bps,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].can_select,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].can_transact,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].chance_of_playing_next_round,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].chance_of_playing_this_round,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].clean_sheets,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].clean_sheets_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].clearances_blocks_interceptions,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].code,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].corners_and_indirect_freekicks_order,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].corners_and_indirect_freekicks_text,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].cost_change_event,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].cost_change_event_fall,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].cost_change_start,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].cost_change_start_fall,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].creativity,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].creativity_rank,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].creativity_rank_type,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].defensive_contribution,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].defensive_contribution_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].direct_freekicks_order,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
