field_name,terminal_field,historical_grains,historical_season_files,historical_presence,review_status,resolution
chips,chips,,,NOT_FOUND,OPEN,
chips[].chip_type,chip_type,,,NOT_FOUND,OPEN,
chips[].id,id,fixture;player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2025-26_all_fixtures.csv;2026-27_all_fixtures.csv,FOUND,OPEN,
chips[].name,name,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv,FOUND,OPEN,
chips[].number,number,,,NOT_FOUND,OPEN,
chips[].overrides,overrides,,,NOT_FOUND,OPEN,
chips[].overrides.pick_multiplier,pick_multiplier,,,NOT_FOUND,OPEN,
chips[].overrides.rules,rules,,,NOT_FOUND,OPEN,
chips[].overrides.scoring,scoring,,,NOT_FOUND,OPEN,
chips[].start_event,start_event,,,NOT_FOUND,OPEN,
chips[].stop_event,stop_event,,,NOT_FOUND,OPEN,
events,events,,,NOT_FOUND,OPEN,
events[].average_entry_score,average_entry_score,,,NOT_FOUND,OPEN,
events[].can_enter,can_enter,,,NOT_FOUND,OPEN,
events[].can_manage,can_manage,,,NOT_FOUND,OPEN,
events[].chip_plays,chip_plays,,,NOT_FOUND,OPEN,
events[].chip_plays[].chip_name,chip_name,,,NOT_FOUND,OPEN,
events[].chip_plays[].num_played,num_played,,,NOT_FOUND,OPEN,
events[].cup_leagues_created,cup_leagues_created,,,NOT_FOUND,OPEN,
events[].data_checked,data_checked,,,NOT_FOUND,OPEN,
events[].deadline_time,deadline_time,,,NOT_FOUND,OPEN,
events[].deadline_time_epoch,deadline_time_epoch,,,NOT_FOUND,OPEN,
events[].deadline_time_game_offset,deadline_time_game_offset,,,NOT_FOUND,OPEN,
events[].finished,finished,fixture,2025-26_all_fixtures.csv;2026-27_all_fixtures.csv,FOUND,OPEN,
events[].h2h_ko_matches_created,h2h_ko_matches_created,,,NOT_FOUND,OPEN,
events[].highest_score,highest_score,,,NOT_FOUND,OPEN,
