source_surface,resource,grain,field_name,sampled_seasons,sampled_paths,semantic_status
PL_PULSELIVE_HISTORICAL,player_match,player_match,accurateCross,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2009-10_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,accurateKeeperSweeper,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2009-10_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,accurateLongBalls,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2009-10_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,accurateOppositionHalfPasses,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2009-10_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,accurateOwnHalfPasses,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2009-10_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,accuratePass,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2009-10_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,aerialLost,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2009-10_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,aerialWon,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2009-10_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,ballCarriesCount,2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,ballRecovery,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2009-10_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,bigChanceCreated,2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_match,player_match,bigChanceMissed,2017-18;2025-26,pl_stats/A_Villa_7/players_match_stats/2025-26_players_match_stats.csv | pl_stats/_merged/players_match_stats/2017-18_players_match_stats.csv | pl_stats/_merged/players_match_stats/2025-26_players_match_stats.csv,UNCATALOGUED
