field_name,source_surface,resource,grain,field_type,semantic_status,relationship_kind,identity_contract,source_identity_required,player_attachment_status,fixture_attachment_status,team_attachment_status,matrix_attachment_status,coverage_player_status,coverage_fixture_status,coverage_club_status,attachment_basis,provenance_requirement,player_reason_code,player_evidence_semantic,player_evidence_source,fixture_reason_code,fixture_evidence_semantic,fixture_evidence_source,team_reason_code,team_evidence_semantic,team_evidence_source
accurateBackZonePass,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateChippedPass,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateCornersIntobox,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateCross,FRL_LOCAL_CSV,player_match,player_match,unknown,UNCATALOGUED,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Player-match observations require verified player and fixture identity.
accurateCrossNocorner,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateFlickOn,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateFreekickCross,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateFwdZonePass,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateGoalKicks,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateKeeperSweeper,FRL_LOCAL_CSV,player_match,player_match,unknown,UNCATALOGUED,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Player-match observations require verified player and fixture identity.
