field_name,source_surface,resource,grain,player_link,fixture_link,club_link,matrix_class,canonical_attachment,relationship_kind,identity_contract
accurateCross,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
accurateKeeperSweeper,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
accurateLongBalls,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
accurateOppositionHalfPasses,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
accurateOwnHalfPasses,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
accuratePass,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
aerialLost,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
aerialWon,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
ballCarriesCount,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
ballRecovery,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
bigChanceCreated,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
bigChanceMissed,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
blockedScoringAttempt,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
