layer,source_family,dataset_grain,variable,provenance_status,frl_action,notes
upstream,FPL API,player,birth_date,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,chance_of_playing_next_round,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,chance_of_playing_this_round,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,clean_sheets_per_90,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,defensive_contribution_per_90,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,expected_assists_per_90,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,expected_goal_involvements_per_90,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,expected_goals_conceded_per_90,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,expected_goals_per_90,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,form,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,points_per_game,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,selected_by_percent,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,status,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,squad_number,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,starts_per_90,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,transfers_in_event,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,player,transfers_out_event,UPSTREAM_ONLY,CANDIDATE,"bootstrap element field dropped by published scraper"
upstream,FPL API,team,draw,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,loss,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,played,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,points,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,position,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,strength_attack_away,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,strength_attack_home,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,strength_defence_away,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,strength_defence_home,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,strength_overall_away,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,strength_overall_home,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,team_division,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,unavailable,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,team,win,UPSTREAM_ONLY,CANDIDATE,"bootstrap team field dropped by published scraper"
upstream,FPL API,fixture,stats,UPSTREAM_ONLY,CANDIDATE,"nested fixture statistics object explicitly dropped by published scraper"
upstream,FPL API,fixture,pulse_id,UPSTREAM_ONLY,CANDIDATE,"fixture field explicitly dropped by published scraper"
upstream,Premier League/PulseLive,team_match,attendance,CAPTURED,RETAIN,"present in historical team-event CSVs"
upstream,Premier League/PulseLive,team_match,venue,CAPTURED,RETAIN,"present in historical team-event CSVs"
upstream,Premier League/PulseLive,team_match,ground,CAPTURED,RETAIN,"present in historical team-event CSVs"
upstream,Premier League/PulseLive,team_match,opponent,CAPTURED,RETAIN,"present in historical team-event CSVs"
upstream,Premier League/PulseLive,player_season,position,CAPTURED,RETAIN,"present in squad/season data"
upstream,Premier League/PulseLive,player_season,preferredFoot,CAPTURED,RETAIN,"present in squad/season data"
upstream,Premier League/PulseLive,player_season,nationality,CAPTURED,RETAIN,"present in squad/season data"
upstream,Premier League/PulseLive,player_season,birthDate,CAPTURED,RETAIN,"present in squad/season data"
upstream,Premier League/PulseLive,player_season,height_cm,CAPTURED,RETAIN,"present in squad/season data"
upstream,Premier League/PulseLive,player_season,weight_kg,CAPTURED,RETAIN,"present in squad/season data"
upstream,Premier League/PulseLive,player_season,joinDate,CAPTURED,RETAIN,"present in squad/season data"
upstream,Premier League/PulseLive,player_season,onLoan,CAPTURED,RETAIN,"present in squad/season data"
upstream,Premier League/PulseLive,match,lineup,CAPABILITY_DISCOVERED,CANDIDATE,"underlying match surface includes lineups"
upstream,Premier League/PulseLive,match,formations,CAPABILITY_DISCOVERED,CANDIDATE,"underlying match surface includes formations"
upstream,Premier League/PulseLive,match,substitutions,CAPABILITY_DISCOVERED,CANDIDATE,"underlying match surface includes substitutions"
upstream,Premier League/PulseLive,match,officials,CAPABILITY_DISCOVERED,CANDIDATE,"underlying match surface includes officials"
upstream,Premier League/PulseLive,match,commentary,CAPABILITY_DISCOVERED,CANDIDATE,"underlying match surface includes commentary"
upstream,Premier League/PulseLive,match,match_events,CAPABILITY_DISCOVERED,CANDIDATE,"underlying match surface includes events"
upstream,Premier League/PulseLive,competition,season_structure,CAPABILITY_DISCOVERED,CANDIDATE,"underlying source exposes competition/season structure"
upstream,Premier League/PulseLive,competition,season_awards,CAPABILITY_DISCOVERED,CANDIDATE,"underlying source exposes season awards"
upstream,Premier League/PulseLive,team,stadium,CAPABILITY_DISCOVERED,CANDIDATE,"underlying team surface exposes stadium metadata"
upstream,Premier League/PulseLive,team,team_form,CAPABILITY_DISCOVERED,CANDIDATE,"underlying team surface exposes form/aggregate context"
upstream,Premier League/PulseLive,team,team_aggregate_stats,CAPABILITY_DISCOVERED,CANDIDATE,"underlying team surface exposes aggregate statistics"
upstream,Premier League/PulseLive,standings,overall,CAPABILITY_DISCOVERED,CANDIDATE,"underlying source exposes overall standings"
upstream,Premier League/PulseLive,standings,home,CAPABILITY_DISCOVERED,CANDIDATE,"underlying source exposes home standings"
upstream,Premier League/PulseLive,standings,away,CAPABILITY_DISCOVERED,CANDIDATE,"underlying source exposes away standings"
